Gencode	Gene_ID	Expression
ENSG00000242268.2	LINC02082	0.0
ENSG00000270112.3	ST8SIA5-DT	0.00303167436965
ENSG00000167578.15	RAB4B	3.02223282546
ENSG00000273842.1	NA	0.0
ENSG00000078237.5	TIGAR	3.0892731740599997
ENSG00000146083.10	RNF44	5.404909774199999
ENSG00000225275.4	NUP210P2	0.0
ENSG00000158486.12	DNAH3	0.011406674815799999
ENSG00000198242.12	RPL23A	124.78029783299999
ENSG00000259883.1	EHD4-AS1	0.100603617052
ENSG00000231981.3	RPL7L1P12	0.0
ENSG00000269475.2	NA	0.0
ENSG00000201788.1	Y_RNA	0.0
ENSG00000134108.11	ARL8B	75.14038582180001
ENSG00000263089.1	NA	0.097840013837
ENSG00000172137.17	CALB2	2.21355131716
ENSG00000167700.7	MFSD3	30.583654104
ENSG00000234943.2	NA	0.041148747346099995
ENSG00000240423.1	LINC00636	0.0245460090973
ENSG00000060642.9	PIGV	12.783840238900002
ENSG00000271616.1	NA	0.0
ENSG00000234881.1	PIGFP2	0.0
ENSG00000236040.1	CHIAP1	0.0
ENSG00000231105.1	ECE1-AS1	0.13141372841399998
ENSG00000243044.1	NA	0.0
ENSG00000182141.8	ZNF708	2.8108845478299997
ENSG00000269416.4	LINC01224	0.00941327533342
ENSG00000264981.1	NA	0.0
ENSG00000275265.1	NA	0.10228402911699999
ENSG00000185105.4	MYADML2	0.0126225205447
ENSG00000233540.1	DNM3-IT1	0.23504663256799999
ENSG00000102174.8	PHEX	0.432538821962
ENSG00000271647.1	KRT8P47	0.0
ENSG00000166391.13	MOGAT2	0.022488153297099998
ENSG00000270469.1	NA	0.0765133304537
ENSG00000070087.12	PFN2	95.1483800687
ENSG00000262950.1	NA	0.0
ENSG00000255420.1	CASC23	0.0
ENSG00000280038.1	DNM1P41	0.0
ENSG00000266261.1	NA	0.217346098066
ENSG00000153561.11	RMND5A	20.3489445788
ENSG00000269148.1	NA	0.203050755883
ENSG00000274458.1	NA	0.0
ENSG00000273406.1	NA	0.0
ENSG00000179262.8	RAD23A	34.7824866976
ENSG00000214198.6	TTC41P	0.188437764113
ENSG00000278099.1	RNVU1-2A	0.0
ENSG00000166368.2	OR2D2	0.0
ENSG00000206072.11	SERPINB11	0.0
ENSG00000234900.1	NA	0.0212799420432
ENSG00000258630.1	LINC02292	0.009119975161370001
ENSG00000127511.8	SIN3B	3.92554924024
ENSG00000220993.1	NA	0.0
ENSG00000225269.2	LINC00705	0.0177800318046
ENSG00000214062.5	RPL7P17	0.0
ENSG00000095587.8	TLL2	0.051386713193
ENSG00000274219.1	NA	0.0
ENSG00000230100.1	NA	0.0
ENSG00000064601.15	CTSA	30.6711772854
ENSG00000227766.1	NA	1.45288643575
ENSG00000008517.15	IL32	1.48411183206
ENSG00000215246.5	NA	0.0801939688371
ENSG00000266644.1	NA	0.138509622763
ENSG00000236893.1	ASS1P7	0.0
ENSG00000254465.1	THAP12P4	0.0
ENSG00000088179.7	PTPN4	2.23763038818
ENSG00000070081.14	NUCB2	23.9223903794
ENSG00000275479.1	NA	1.53326931245
ENSG00000166634.5	SERPINB12	0.0
ENSG00000261789.1	NA	0.009333981798729999
ENSG00000254092.1	NA	0.0
ENSG00000197421.8	GGT3P	0.0
ENSG00000161558.9	TMEM143	1.26586043781
ENSG00000276644.3	DACH1	17.577074176700002
ENSG00000260900.1	NA	0.0
ENSG00000278732.1	Metazoa_SRP	0.0
ENSG00000196167.8	COLCA1	0.08526597182810002
ENSG00000268465.1	NA	0.0
ENSG00000264438.2	RN7SL560P	0.0
ENSG00000204113.6	BMP2KL	0.012663736938399998
ENSG00000207000.1	RNU6-820P	0.0
ENSG00000254131.1	NA	0.0738717988071
ENSG00000118972.1	FGF23	0.0
ENSG00000264104.1	NA	0.0
ENSG00000179833.4	SERTAD2	10.033801324099999
ENSG00000264576.1	NA	0.0
ENSG00000064225.11	ST3GAL6	0.582233834109
ENSG00000267108.1	NA	0.277019245526
ENSG00000221372.1	NA	0.0
ENSGR0000264510.4	NA	0.0
ENSG00000057294.12	PKP2	2.09469500777
ENSG00000227535.2	NA	0.0
ENSG00000252628.2	RNU6-453P	0.0
ENSG00000166007.11	TRIM51HP	0.0
