Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_EX_cm_e	2.384427640425478e-23	0.0	0.0	0.0	9.68351485402413e-24	0.0	0.0	2.6246661694748892e-23
R_EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_co2_e	0.8359452431227263	0.8321681751497985	0.7186557766462315	0.7995100945573222	0.8045434635559471	0.7820000783121103	0.8579026811383543	0.8471101093724367
R_EX_cobalt2_e	4.897054983743487e-13	4.897054983743487e-13	4.896361094353098e-13	4.896777427987331e-13	4.895528427084628e-13	4.895944760718862e-13	4.896222316475018e-13	4.897193761621565e-13
R_DM_4crsol_c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_5drib_c	9.243095112073624e-06	1.0304474084753276e-05	8.224966734721105e-06	1.0965398180229488e-05	8.355559814529957e-06	9.558059934284914e-06	1.0758231643326402e-05	1.06386415037584e-05
R_DM_aacald_c	8.774920231993063e-09	8.89362051867788e-09	8.929420149724616e-09	8.933699420081658e-09	8.708460488467417e-09	8.71098631148077e-09	9.013120376034274e-09	8.787290303310363e-09
R_DM_amob_c	9.984236073954026e-09	9.984569217468665e-09	9.984125272725768e-09	9.984583452903804e-09	9.984343232472933e-09	9.984538309386144e-09	9.984465968612698e-09	9.98471813692526e-09
R_DM_mththf_c	0.0277020074562483	0.0299683708625845	0.0211455683204502	0.025666230579524	0.0250033704834025	0.0247439165498883	0.0273984790633323	0.0251846287927517
R_EX_colipa_e	2.41977572638548e-06	1.0190183596760408e-05	2.820676583265925e-07	3.1123807031828613e-06	1.0469430795106291e-06	1.2303685497244438e-06	5.555345645024634e-07	3.4865690081947503e-06
R_DM_oxam_c	0.0027117889068517	0.003080408988075	0.0026581175268196	0.0028283059204173	0.0029920824819999	0.0029086770502752	0.0034834124402404	0.0033970782738239
R_EX_glc__D_e	-0.2137682017269519	-0.222065867519034	-0.2116727069506141	-0.2661721481883284	-0.2345740264484768	-0.215889110177594	-0.2515720156337843	-0.2329923263060065
R_EX_glcn_e	-0.0667323381697462	-0.070020967510819	-0.0754584022885794	-0.0575107190585531	-0.0660769546797186	-0.1833623859458117	-0.0659091193230915	-0.0647839017489929
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_colipap_e	1.701655694264805e-06	5.055121289605165e-06	2.9570854966265534e-07	2.543813060202464e-06	8.688009380976878e-07	1.06140198122315e-06	6.025608866437409e-07	2.2584974494889955e-06
R_EX_glcur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcur1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BIOMASS_Ec_iJO1366_core_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_12ppd__R_e	0.0334189299419774	0.0312371555509199	0.0339928321065749	0.0280104194939599	0.0316130795282653	0.0293517704717097	0.0305604648683668	0.0254781533308378
R_EX_gln__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_e	6.354518602235276e-09	6.13524111420279e-09	6.638690487733239e-09	6.328380662752851e-09	6.4760610022224755e-09	6.485401458679478e-09	6.355756240615134e-09	6.386284994090001e-09
R_EX_glu__L_e	2.020682791447734e-07	2.986085466164587e-07	1.2337977391046445e-07	2.747133493851886e-07	1.9511469431906525e-07	2.2318957117621677e-07	2.452384183540169e-07	3.4078400170391934e-07
R_EX_gly_e	0.0010195811528343	0.0013396854083872	0.000883203361664	0.0020487442830797	0.0013830858610536	0.0017353481434698	0.0010960304335943	0.0014894681929993
R_EX_glyald_e	0.0058080194493616	0.0063303703197762	0.0044205286107449	0.0067155530158587	0.0030151826303425	0.0057130000833972	0.0062284158816264	0.0072458416653535
R_EX_glyb_e	1.961384645386511e-08	1.9614026433496832e-08	1.9574503093505924e-08	1.9589805383576878e-08	1.9599106418837013e-08	1.9600809577040934e-08	1.960332756931496e-08	1.960339040076026e-08
R_EX_glyc_e	-0.0111262002947736	0.0029328837323679	-0.0297234070614892	0.009202891064313	-0.0899045943719362	-0.0006599549330488	-0.017101106419029	-0.0191986961697117
R_EX_12ppd__S_e	0.0048011979517277	0.0058063573073337	0.0038925180251151	0.0078928030332315	0.0060290809358813	0.0065186966436038	0.0035191250933744	0.0044313278532545
R_EX_14glucan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_un_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_15dap_e	0.0006702712204815	0.0006425994817249	0.0005404291974598	0.000850972371856	0.0006516047064999	0.000626800647372	0.000598474198938	0.000605712947727
