Reaction	Glucose	Glucose - Chemostat
R_CITtcp	9.875494529770767e-09	9.932705756846016e-09
R_13BGH	0.027768797053057338	0.02917087671351675
R_13BGHe	8.878518026340792e-09	8.602512875515121e-09
R_13GS	0.02776878571351317	0.029170865374145608
R_16GS	8.659662724896703e-21	0.0
R_23CAPPD	0.0	0.0
R_2DDA7Ptm	-0.028196941508367164	-0.02413206240713261
R_2DHPtm	0.010035745482173895	0.008013611793990849
R_2DOXG6PP	0.0	0.0
R_2HBO	-0.0914618109035552	-0.04330263315561711
R_2HBt2	-0.0914618109035552	-0.04330263315561711
R_2HMHMBQMTm	0.0	5.913385943778862e-16
R_2HP6MPMOm	0.0	5.645370827450414e-16
R_2HPMBQMTm	0.0	5.727452059111024e-16
R_2HPMMBQMOm	0.0	5.816081641557398e-16
R_2MBACt	0.01833889007567904	0.012118922698061965
R_EX_epistest_SC_e	0.0	0.0
R_EX_epist_e	0.0	0.0
R_2MBALDt	0.00013691800652515518	0.00015436857802686443
R_2MBALDtm	0.01590545234035501	0.016236286163122116
R_2MBTOHt	0.19264277622118006	0.17546294348382208
R_ACACT6p	1.5970034999894677e-07	1.5980293116309893e-07
R_2MBTOHtm	-0.01590545234035501	-0.016236286163122116
R_ACACT7p	1.796798603370567e-07	1.797849675636583e-07
R_2MPPALt	0.00027073532982790915	0.00034300798801578663
R_ACACT8p	1.9963456487401829e-07	1.997465433472088e-07
R_ACACT9p	1.9833462392201912e-08	1.990413668630248e-08
R_ACALDCD	0.2400258531269421	0.2346293863593884
R_ACALDt	-0.02047082684236268	-0.025772283512901284
R_ACALDtm	-0.4702136102593898	-0.6678093428103419
R_ACCOAC	0.0049990216258410936	0.0028112858070041824
R_ACCOACrm	-2.6354465568201316e-08	-2.289801058485974e-08
R_AGAT_SC	0.0050508493374251725	0.002804415572973118
R_AGPRim	0.2142173011991706	0.2577498512385214
R_AGTi	0.010049124091362936	0.12831159811402112
R_AHCYStm	1.1102230246251563e-16	-1.7763568394002505e-15
