Reaction	Fructose	Gluconate	Glucose	Glycerol	Malate + Glucose	Malate	Pyruvate	Succinate + Glutamate
R_EX_etha_e	-5.0315989442812224e-11	-1.4197860546927386e-09	-1.377468456285563e-10	-1.0151444532287066e-09	-5.550405654376261e-10	-3.064747173715454e-09	-6.801578564823651e-10	-2.3979191953966523e-10
R_EX_drib_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_csn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_5mtr_e	3.4086616757616096e-08	1.1514128790014413e-07	9.329089666700089e-08	5.8534255134106715e-08	7.260521550665488e-08	4.880207760147402e-08	1.853959493315229e-08	3.0531470922714145e-08
R_EX_dtmp_e	3.6556616052519673e-08	1.2978862565645973e-07	1.032227350094685e-07	4.9987779629673556e-08	8.762807342985766e-08	7.217204865602852e-08	2.9196261606012885e-08	2.809114981343568e-08
R_EX_6pgc_e	2.485297578577872e-07	8.663482312390759e-07	7.465054945951845e-06	1.803311881437643e-07	0.0019209915579875	1.6924075676229962e-07	4.444555441281688e-08	3.76984205120671e-08
R_EX_ctbt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cu2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_Larab_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ectoine_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cys__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cys__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_eths_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cyst__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_Lcyst_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cytd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_abt__L_e	-3.3417773835695956e-10	-4.360656842107091e-09	-5.781058307543214e-10	-3.486795398808999e-09	-5.509249911750411e-10	-1.3106281122502617e-08	-4.1733760107803185e-09	-4.569631713308476e-09
R_EX_etoh_e	0.0065433733044974	0.001078722661099	0.0078167593282666	0.0041170207194754	0.005234484911349	1.574269797305496e-06	5.232741022217422e-07	5.59365836804981e-07
R_EX_dad_2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_dcyt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_fe2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_dextrin_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_dha_e	4.302727577025788e-07	8.652843440960613e-07	1.4369024437411797e-06	3.493527887631522e-07	1.1194483481384476e-06	2.797222681688103e-07	8.09738306824908e-08	6.845041145336946e-08
R_EX_ac_e	0.0251300645983698	0.0256381327134276	0.0253279723928717	0.0201508053890549	0.0277850654980354	0.0211284928722628	0.0217032835469498	0.0152964669427425
R_EX_acac_e	6.476074467216168e-07	1.3573737272235735e-06	1.9357977171206614e-06	4.787218280445682e-07	8.208542482899687e-07	8.306722468393612e-07	4.6019404719397325e-07	3.726492551299313e-07
R_EX_fe3_e	2.5980096546307507e-11	1.5248300885839503e-10	1.1285244613801203e-10	1.0142951409330968e-10	9.256558367032319e-11	1.738194900513523e-10	5.7297742939166334e-11	5.425296670247271e-11
R_EX_ferrich_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_diact_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_djenk_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ferxa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_fol_e	9.087052148937407e-08	4.450411240162617e-07	2.562563012373328e-07	1.819509398232498e-07	2.557218084055036e-07	4.469713645717972e-07	1.5834928026204316e-07	2.094230595236937e-07
R_EX_acgam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acmana_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acnam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
