Reaction	Glycerol	Succinate	Acetate	Fructose	Galactose	Gluconate	Glucose	Pyruvate
R_EX_cm_e	6.193203029724568e-17	3.0639541403867227e-17	-2.2227941877217396e-17	5.69134427206928e-17	-5.315041754260688e-17	-1.1819280600103803e-16	-4.6671779218703805e-17	1.7847773361932506e-17
R_EX_cmp_e	-1.1872439002031978e-05	-1.6507278173086006e-05	-1.4380941926423428e-05	-1.6181545876936108e-05	-1.806623412605692e-05	-2.0731732395440897e-05	-1.586587120182689e-05	-1.475791922189832e-05
R_EX_co2_e	0.0107178705283351	0.0146537440505996	0.0121565703245061	0.0145956651353543	0.0132791296738967	0.0149047378147666	0.0143125302263316	0.0152034546905601
R_EX_cobalt2_e	6.128352625714427e-10	8.893214038449561e-10	7.794612334049987e-10	8.764965719366967e-10	1.0142481451057284e-09	1.0982100992484867e-09	8.396001736736546e-10	7.935019043746326e-10
R_DM_4crsol_c	-7.789775587891878e-06	-1.1927172109113803e-05	-1.0702535356711436e-05	-1.1602011432397484e-05	-1.3615802856669853e-05	-1.4882137309591703e-05	-1.0150861618290282e-05	-1.0546797837177037e-05
R_DM_5drib_c	-2.174703111666656e-06	-3.4286208621017534e-06	-6.4313827220136175e-06	-6.983049803151957e-08	-9.504319501119555e-06	-2.5558050209302588e-06	-2.832359655311194e-06	-3.2044579350300205e-06
R_DM_aacald_c	-1.0878458535713471e-05	-1.6073034280381756e-05	-1.3725602375639115e-05	-1.6059108684539538e-05	-1.828343750622812e-05	-1.9720651415391342e-05	-1.542435713789785e-05	-1.4144936268872546e-05
R_DM_amob_c	-2.965096952960797e-06	3.068732423931367e-06	-5.118564000674446e-06	-5.302715305311967e-06	-4.131446417736034e-06	-3.369715513607831e-06	-2.4430378480236337e-06	-1.2728898772603478e-06
R_DM_mththf_c	1.938473221277299e-05	1.613492235932188e-05	2.636085372940912e-05	6.584560496565476e-05	3.240468125240421e-05	5.386757597472355e-05	6.579513996112689e-05	4.116146753208208e-05
R_EX_colipa_e	2.8436102655045102e-06	4.293730825528216e-06	4.625897894730071e-06	5.294788458980756e-06	2.6982792061614405e-06	4.178549527387732e-06	1.918720275804512e-06	3.1245580275373323e-06
