Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_cm_e	0.0205827252374731	0.0205827252374731	0.0205827252374731	0.0205827252374731	0.0205827252374731	0.0205827252374731	0.0205827252374731	0.0205827252374731
R_EX_cmp_e	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07	3.955293891610169e-07
R_EX_co2_e	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06	6.213950984304464e-06
R_EX_cobalt2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_4crsol_c	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06	9.660944794310032e-06
R_DM_5drib_c	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06	3.5426279993278096e-06
R_DM_aacald_c	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07	-1.920436665744669e-07
R_DM_amob_c	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05	1.826303928476893e-05
R_DM_mththf_c	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06	1.5327792065568491e-06
R_EX_colipa_e	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06	4.844682579528286e-06
R_DM_oxam_c	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06	8.592100132587386e-06
R_EX_glc__D_e	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06	3.747417553071699e-06
R_EX_glcn_e	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06	4.8291394519920485e-06
R_BIOMASS_Ec_iJO1366_WT_53p95M	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06	8.57903910587855e-06
R_EX_glcr_e	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06	3.749899653899037e-06
R_EX_colipap_e	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06	4.808964441852563e-06
R_EX_glcur_e	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06	8.562297559828122e-06
R_EX_glcur1p_e	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06	3.75333311797586e-06
R_BIOMASS_Ec_iJO1366_core_53p95M	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06	5.131923276914952e-06
R_EX_12ppd__R_e	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06	8.837194112041216e-06
R_EX_gln__L_e	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06	3.705270835166499e-06
R_EX_cpgn_e	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06	5.295732910623272e-06
R_EX_glu__L_e	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06	8.978025775299739e-06
R_EX_gly_e	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06	3.682292864663024e-06
R_EX_glyald_e	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06	4.741517150741424e-06
R_EX_glyb_e	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06	8.50566350347915e-06
R_EX_glyc_e	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06	3.7641463527437353e-06
R_EX_12ppd__S_e	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06	4.879094288788955e-06
R_EX_14glucan_e	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06	8.621779519028116e-06
