Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_EX_cm_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_co2_e	29.385430191823332	18.210227723855073	18.8904676598392	18.259719111896906	7.283650162237423	24.870596080490607	41.52825316354029	40.19887837329276
R_EX_cobalt2_e	-2.0531767102276164e-05	-3.6331554974810046e-05	-3.347870129030796e-05	-3.626556059577771e-05	-3.5169603217617514e-05	-3.451571834302927e-05	-2.9137295366156303e-05	-2.93352097558948e-05
R_DM_4crsol_c	0.0001831433625523034	0.00032407747037530563	0.00029863001550954697	0.0003234888005143372	0.0003137128607011482	0.00030788020761982103	0.00025990467466611425	0.00026167007102258157
R_DM_5drib_c	0.00018478590392048547	0.00032698399477329047	0.0003013083116127716	0.0003263900453619994	0.0003165264289585576	0.00031064146508726336	0.0002622356582954067	0.0002640168878030532
R_DM_aacald_c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_amob_c	1.642541368182093e-06	2.9065243979848036e-06	2.678296103224636e-06	2.901244847662217e-06	2.813568257409401e-06	2.761257467442341e-06	2.330983629292504e-06	2.3468167804715835e-06
R_DM_mththf_c	0.00036792926647273376	0.0006510614651484912	0.0005999383271223253	0.0006498788458761453	0.0006302392896596915	0.0006185216727072456	0.0005221403329615902	0.0005256869588258415
R_EX_colipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_oxam_c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glc__D_e	0.0	0.0	0.0	-18.8665279605414	0.0	0.0	0.0	0.0
R_EX_glcn_e	0.0	0.0	0.0	0.0	0.0	-21.021029079212	0.0	0.0
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_colipap_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcur1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BIOMASS_Ec_iJO1366_core_53p95M	0.8212706840910465	1.453262198992402	1.3391480516123182	1.4506224238311085	1.4067841287047005	1.3806287337211707	1.165491814646252	1.173408390235792
R_EX_12ppd__R_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gln__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glu__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gly_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyald_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyb_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc_e	0.0	0.0	0.0	0.0	-28.350703081549117	0.0	0.0	0.0
R_EX_12ppd__S_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_14glucan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_un_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_15dap_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc__R_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc2p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23camp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23ccmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23cgmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23cump_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23dappa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_26dap__M_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc3p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyclt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007850102130679122
R_EX_gmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gsn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gthox_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gthrd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gtp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gua_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_h_e	-24.002607541211137	35.631226235255895	30.951917356241378	35.57461767233211	27.29405311325728	21.888935210826556	-2.976202643654502	-24.126826941540383
R_EX_h2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_h2o_e	51.07499513878729	57.04364309100678	54.257051663980135	57.02098134747505	72.78719008182681	61.332675109685205	28.333604913260025	38.52430349066701
R_EX_h2o2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_h2s_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hacolipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_halipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hdca_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hdcea_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hg2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_his__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_2ddglcn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_34dhpac_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3amp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3gmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3hcinnm_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3hpp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3hpppn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hom__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hxa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hxan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_idon__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_3ump_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_4abut_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_4hoxpacd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_5dglcn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_5mtr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_LalaDglu_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ile__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_imp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_indole_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_inost_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ins_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_isetac_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_k_e	-0.16030628863978366	-0.2836666084079239	-0.26139232563836323	-0.2831513427748656	-0.2745944144342566	-0.2694890644212365	-0.22749584377624588	-0.22904110391529492
R_EX_LalaDgluMdap_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_LalaDgluMdapDala_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_LalaLglu_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_kdo2lipid4_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ac_e	-31.54863312143841	11.893190813030227	9.255532049296503	12.246444421721387	5.654046983862183	14.358570031561136	12.2652248177856	11.870218629018254
R_EX_crn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acac_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acald_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lac__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lac__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_crn__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lcts_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acgal_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acgal1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acgam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_leu__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_csn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acgam1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acmana_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acmum_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cu_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lipa_cold_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acnam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acolipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cu2_e	-0.0005822809150205521	-0.0010303628990856128	-0.0009494559685931333	-0.001028491298496256	-0.0009974099472516325	-0.00097886577220831	-0.0008263336965841927	-0.0008319465486771763
R_EX_acser_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ade_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_adn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_adocbl_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ag_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lipoate_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lys__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lyx__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_mal__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_agm_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_akg_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cyan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_B_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
