Reaction	Glucose	Glucose - Chemostat
R_CITtcp	0.0	0.0
R_13BGH	0.0	0.0
R_13BGHe	0.0	0.0
R_13GS	1.2309589976511086	1.2309589976511086
R_16GS	0.0	0.0
R_23CAPPD	0.0	0.0
R_2DDA7Ptm	-0.28669586101444133	-0.28669586101444133
R_2DHPtm	0.0	0.0
R_2DOXG6PP	0.0	0.0
R_2HBO	0.0	0.0
R_2HBt2	0.0	0.0
R_2HMHMBQMTm	0.0	0.0
R_2HP6MPMOm	0.0	0.0
R_2HPMBQMTm	0.0	0.0
R_2HPMMBQMOm	0.0	0.0
R_2MBACt	0.0	0.0
R_EX_epistest_SC_e	0.0	0.0
R_EX_epist_e	0.0	0.0
R_2MBALDt	0.0	0.0
R_2MBALDtm	0.0	0.0
R_2MBTOHt	0.0	0.0
R_ACACT6p	0.0	0.0
R_2MBTOHtm	0.0	0.0
R_ACACT7p	0.0	0.0
R_2MPPALt	0.0	0.0
R_ACACT8p	0.0	0.0
R_ACACT9p	0.0	0.0
R_ACALDCD	0.0	0.0
R_ACALDt	0.0	0.0
R_ACALDtm	-1.1705391737445463	-1.1705391737445463
R_ACCOAC	0.43129123851434686	0.43129123851434686
R_ACCOACrm	0.0	0.0
R_AGAT_SC	0.02679299192983996	0.02679299192983996
R_AGPRim	0.3529732621040454	0.3529732621040454
R_AGTi	0.05652561981851187	0.05652561981851187
R_AHCYStm	0.0	0.0
R_ACCOAtn	0.0	0.0
R_2MPPALtm	0.0	0.0
R_ACESt	0.0	0.0
R_ACGAM6PS	0.0	0.0
R_AHCi	0.02028457283757114	0.02028457283757114
R_AHMMPS	0.0	0.0
R_AHSERL	0.0	0.0
R_AHSERL2	0.062155402331167176	0.062155402331167176
R_ACGAMPM	0.0	0.0
R_ACGKm	0.3529732621040454	0.3529732621040454
R_2OBUTtm	0.20902872651336682	0.20902872651336682
R_ACGSm	0.0	0.0
R_2OXOADPtim	0.31045159070122247	0.31045159070122247
R_ACHBSm	0.20902872651336682	0.20902872651336682
R_ACHLE1	0.0	0.0
R_2PHETOHt	0.0	0.0
R_ACHLE2	0.0	0.0
R_ACHLE3	0.0	0.0
R_ACLSm	0.6085371851271342	0.6085371851271342
R_2PHETOHtm	0.0	0.0
R_ACOAHim	0.0	0.0
R_34HPLFM	0.0	0.0
R_ACOAO4p	0.0	0.0
R_AICART	0.17929609862469487	0.17929609862469487
R_AIRCr	0.10737806765512445	0.10737806765512445
R_AKGDam	4.831022403805393	4.831022403805393
R_AKGDbm	4.831022403805393	4.831022403805393
R_ACOAO5p	0.0	0.0
R_ACOAO6p	0.0	0.0
R_ACOAO7p	0.0	0.0
R_ACOAO8p	0.0	0.0
R_ACOAO9p	0.0	0.0
R_AKGMAL	0.0	0.0
R_AKGt2n	0.0	0.0
R_AKGt2r	0.0	0.0
R_34HPPOR	0.0	0.0
R_AKGtp	0.0	0.0
R_AKP1	0.0	0.0
R_ALASm	0.0	0.0
R_ALATA_L	-0.5542027330740006	-0.5542027330740006
R_ALATA_Lm	0.0	0.0
R_ACOATA	0.0	0.0
R_ACOATAm	0.0	0.0
R_ACON3MT	0.0	0.0
R_ALATRS	0.0	0.0
R_34HPPt2m	0.11064312456856985	0.11064312456856985
R_ALAt2r	0.0	0.0
R_ALAtmi	0.0	0.0
R_ACONT	3.9951183903274377	3.9951183903274377
R_ACONT3m	0.0	0.0
R_ACONTm	1.9975591951637188	1.9975591951637188
R_ACOTAim	0.3529732621040454	0.3529732621040454
R_ALCD19y	0.0	0.0
R_ALCD22xi	0.0	0.0
R_ALCD22xim	0.0	0.0
R_34HPPt2p	0.0	0.0
R_ALCD22yi	0.0	0.0
R_ALCD23xi	0.0	0.0
R_ALCD23xim	0.0	0.0
R_ALCD23yi	0.0	0.0
R_ALCD24xi	0.0	0.0
R_ALCD24xim	0.0	0.0
R_ACP1e	0.0	0.0
R_ACPSm	0.0	0.0
R_ACRNtm	0.0	0.0
R_ACRNtp	0.0	0.0
R_ACS	0.5541918857066896	0.5541918857066896
R_ACSm	0.0	0.0
R_ACSp	0.0	0.0
R_ACt2r	-4.683601443225083	-4.683601443225083
R_ALCD24yi	0.0	0.0
R_ALCD25xi	0.0	0.0
R_ALCD25xim	0.0	0.0
R_ALCD25yi	0.0	0.0
R_ACtm	-1.1705391737445463	-1.1705391737445463
R_3C3HMPt	0.0	0.0
R_ACtp	0.0	0.0
R_ACtr	3.3544760550414225	3.3544760550414225
R_ADA	0.0	0.0
R_ADCL	0.0	0.0
R_ALCD26xi	0.0	0.0
R_ALCD26xim	0.0	0.0
R_ALCD2x_copy1	0.0	0.0
R_ALCD2ir	6.690371025155329	6.690371025155329
R_ALCD2irm	0.0	0.0
R_ADCS	0.0	0.0
R_3C3HMPtm	-0.3215159031580795	-0.3215159031580795
R_ADD	0.0	0.0
R_ADEt2	0.0	0.0
R_ADEtm	0.0	0.0
R_ADHAPR_SC	0.0	0.0
R_ADK1	1.0963838737100324	1.0963838737100324
R_ADK1m	0.0	0.0
R_ADK3	0.046615195827683496	0.046615195827683496
R_ALCD2x_copy2	-6.6903710251560575	-6.6903710251560575
R_ALDD19xr	0.0	0.0
R_ALDD20xm	0.0	0.0
R_ALDD20y	0.0	0.0
R_ALDD20ym	0.0	0.0
R_ALDD22x	0.0	0.0
R_ALDD2xm	0.0	0.0
R_ALDD2y	0.6506226978146357	0.6506226978146357
R_ALDD2ym	1.1705391737445463	1.1705391737445463
R_ADK3m	0.0	0.0
R_ADK4	0.5481919368550162	0.5481919368550162
R_ADK4m	0.0	0.0
R_ADMDC	0.0	0.0
R_ADNCYC	0.0	0.0
R_ADNK1	0.02028457283757114	0.02028457283757114
R_ADNUC	0.0	0.0
R_ALLTAHr	0.0	0.0
R_ALLTN	0.0	0.0
R_ALLTNti	0.0	0.0
R_ALLTTti	0.0	0.0
R_ADNt2	0.0	0.0
R_3C4MOPtm	0.0	0.0
R_ADPT	0.0	0.0
R_ADSK	0.062155402331167176	0.062155402331167176
R_ALPHNH	0.0	0.0
R_AMAOTr	0.0	0.0
R_ADSL1r	0.12572096213016876	0.12572096213016876
R_AMETt2	0.0	0.0
R_3DH5HPBMTm	0.0	0.0
R_AMETtm	0.0	0.0
R_AMID	0.0	0.0
R_AMID2	0.0	0.0
R_AMID3	0.0	0.0
R_ADSL2r	0.10737806765512445	0.10737806765512445
R_ADSS	0.12572096213016876	0.12572096213016876
R_AMPN	0.0	0.0
R_AMPDA	0.0	0.0
R_3DH5HPBtm	0.0	0.0
R_AMPtn	0.0	0.0
R_ANPRT	0.030806517036739058	0.030806517036739058
R_ATPS3v	0.0	0.0
R_3DSPHR	0.0	0.0
R_ATPtm_H	47.87947387255308	47.87947387255308
R_ATPtp_H	0.0	0.0
R_ANS	0.030806517036739058	0.030806517036739058
R_AOBUTDs	0.0	0.0
R_AP4AH	0.0	0.0
R_APRTO2	0.0	0.0
R_ARAB14LO	0.0	0.0
R_BACCL	0.0	0.0
R_3HAO	0.0	0.0
R_ARAB1D2	0.0	0.0
R_ARABR	0.0	0.0
R_3HPH5MBDCm	0.0	0.0
R_ARAB_Dt	0.0	0.0
R_ARAB_Lt	0.0	0.0
R_ARGN	0.0	0.0
R_BPNT	0.062155402331167176	0.062155402331167176
R_BTDD_RR	-0.0682800996289691	-0.0682800996289691
R_BTDt_RR	0.0682800996289691	0.0682800996289691
R_3IPM3MT	0.0	0.0
R_BTNt2i	0.0	0.0
R_BTSr	0.0	0.0
R_C14STR	0.002386420333831899	0.002386420333831899
R_C22STDS	0.0	0.0
R_C22STDSx	0.0	0.0
R_C24STRer	0.0007593155607646951	0.0007593155607646951
R_C3STDH1	0.002386420333831899	0.002386420333831899
R_ARGSL	0.17431715802126643	0.17431715802126643
R_ARGSS	0.17431715802126643	0.17431715802126643
R_ARGTRS	0.0	0.0
R_ARGTRSm	0.0	0.0
R_ARGt2m	0.0	0.0
R_ARGt2r	0.0	0.0
R_ARGt6	0.0	0.0
R_ARMT	0.0	0.0
R_ASAD	-0.4716434368864135	-0.4716434368864135
R_C3STDH2	0.002386420333831899	0.002386420333831899
R_C3STKR1	0.002386420333831899	0.002386420333831899
R_C3STKR2	0.002386420333831899	0.002386420333831899
R_ASNN	0.0	0.0
R_C4STMO1	0.002386420333831899	0.002386420333831899
R_ASNNe	0.0	0.0
R_C4STMO2	0.002386420333831899	0.002386420333831899
R_ASNS1	0.11031770361395642	0.11031770361395642
R_3MBALDt	0.0	0.0
R_ASNTRS	0.0	0.0
R_ASNTRSm	0.0	0.0
R_C5STDS	0.0	0.0
R_C8STI	0.0	0.0
R_ASNt2m	0.0	0.0
R_ASNt2r	0.0	0.0
R_3MBALDtm	0.0	0.0
R_ASNt6	0.0	0.0
R_ASNt7	0.0	0.0
R_CAT	0.0	0.0
R_CATp	0.0	0.0
R_ASPCT	0.11997185860082182	0.11997185860082182
R_3MOBDC	0.0	0.0
R_ASPGLU2m	0.0	0.0
R_ASPGLUtp	0.0	0.0
R_ASPK	0.4716434368864135	0.4716434368864135
R_ASPOcm	0.0	0.0
R_CBASPtn	0.0	0.0
R_CBPS	0.2942890166220883	0.2942890166220883
R_CBPtn	0.0	0.0
R_CCP2m	0.0	0.0
R_CDPDGPm_SC	0.0	0.0
R_ASPTA	0.5846559003130941	0.5846559003130941
R_ASPTAm	-2.016714200545841	-2.016714200545841
R_3MOBtm	-0.28702128196905474	-0.28702128196905474
R_ASPTAp	0.0	0.0
R_ASPTRS	0.0	0.0
R_ASPTRSm	0.0	0.0
R_CDPtn	0.0	0.0
R_CER1_24ter	0.0	0.0
R_CER1_26ter	0.0	0.0
R_CER2_24ter	0.0	0.0
R_CER2_26ter	0.0	0.0
R_ASPt2m	-2.016714200545841	-2.016714200545841
R_ASPt2n	-0.40790741848998185	-0.40790741848998185
R_CERASE124er	0.0	0.0
R_3MOPDC	0.0	0.0
R_CERASE126er	0.0	0.0
R_ASPt2r	0.0	0.0
R_ASPt5n	-0.40790741848998185	-0.40790741848998185
R_ASPt7	0.0	0.0
R_CERASE224er	0.0	0.0
R_CERASE226er	0.0	0.0
R_ATHRDHr	0.0	0.0
R_3MOPt	0.0	0.0
R_ATP2tp_H	0.0	0.0
R_ATPATF1	0.0	0.0
R_ATPATF2	0.0	0.0
R_ATPATF3	0.0	0.0
R_ATPH1	0.0	0.0
R_ATPM	0.0	0.0
R_CERH124_copy1	0.0	0.0
R_CERH126_copy1	0.0	0.0
R_CERS124	0.0	0.0
R_CERS124er	0.0	0.0
R_CERS126	0.0	0.0
R_CERS126er	0.0	0.0
R_CERS224	0.0	0.0
R_CERS224er	0.0	0.0
R_ATPPRT	0.0719180309695704	0.0719180309695704
R_ATPS	0.0	0.0
R_ATPS3g	0.0	0.0
R_ATPS3m	43.40142473085173	43.40142473085173
R_CERS226	0.0	0.0
R_CERS226er	0.0	0.0
R_CERH124_copy2	0.0	0.0
R_CERH126_copy2	0.0	0.0
R_CITtbm	-0.28669586101444133	-0.28669586101444133
R_3MOPtm	2.452114680774792	2.452114680774792
R_CITtcm	1.9975591951637188	1.9975591951637188
R_CERS324	0.0	0.0
R_CERS326	0.0	0.0
R_CHLPCTD	0.0	0.0
R_CHLSTI	0.0007593155607646951	0.0007593155607646951
R_CLPNSm_SC	0.0	0.0
R_3OPHB5Hm	0.0	0.0
R_CMPN	0.0	0.0
R_CHLt2	0.0	0.0
R_CHOLK	0.0	0.0
R_CHORM	0.25588934397770224	0.25588934397770224
R_CHORS	0.28669586101444133	0.28669586101444133
R_CHRPL	0.0	0.0
R_CO2t	-32.577994884205076	-32.577994884205076
R_CO2tg	0.0	0.0
R_CO2tm	-12.63803028491801	-12.63803028491801
R_CO2tn	-0.40790741848998185	-0.40790741848998185
R_CO2tp	0.0	0.0
R_CHTNDA	0.0	0.0
R_CHTNS	0.0	0.0
R_CITt2r	0.0	0.0
R_CO2tv	0.0	0.0
R_COAHLp	0.0	0.0
R_3OPHB_5tm	0.0	0.0
R_COAtim	0.01431852200377245	0.01431852200377245
R_CITtam	-5.705981724476708	-5.705981724476708
R_CITtap	0.0	0.0
R_COAtn	0.0	0.0
R_4ABUTNtm	0.0	0.0
R_COUCOAFm	0.0	0.0
R_CPPPGO	0.0	0.0
R_4ABUTtm	0.0	0.0
R_CRNCARtm	0.0	0.0
R_CRNCARtp	0.0	0.0
R_DCTPD	0.0	0.0
R_DCYTD	0.0	0.0
R_CRNt	0.0	0.0
R_4ABZt	0.0	0.0
R_CRNtim	0.0	0.0
R_DCYTt2	0.0	0.0
R_CRNtp	0.0	0.0
R_4ABZtm	0.0	0.0
R_CSNATm	0.0	0.0
R_DDPA	0.0	0.0
R_DDPAm	0.28669586101444133	0.28669586101444133
R_DESAT14	0.0	0.0
R_DESAT16	0.0032134497497989883	0.0032134497497989883
R_DESAT18	0.010613325033260384	0.010613325033260384
R_CSNATp	0.0	0.0
R_CSNATr	0.0	0.0
R_CSND	0.0	0.0
R_CSNt2	0.0	0.0
R_CSm	5.99267758549115	5.99267758549115
R_DESAT18_2	0.005467072037505806	0.005467072037505806
R_DGDPtn	0.0	0.0
R_CSp	0.0	0.0
R_DGGH	0.0	0.0
R_4H2OGLTtm	0.0	0.0
R_DGK1	-0.0026033676369075255	-0.0026033676369075255
R_DGSNt2	0.0	0.0
R_CTPS1	0.048487722237402664	0.048487722237402664
R_CTPS2	0.0	0.0
R_CTPtm	4.354642198888712	4.354642198888712
R_DHAD1m	0.6085371851271342	0.6085371851271342
R_4H2OGLTtp	0.0	0.0
R_DHAD2m	0.20902872651336682	0.20902872651336682
R_DHAK	0.0	0.0
R_CYOOm	21.117578743910787	21.117578743910787
R_CYOR_u6m	42.235157487821574	42.235157487821574
R_DHAPtm	3.494039277635877	3.494039277635877
R_DHFR	0.0039050514553612887	0.0039050514553612887
R_CYSS	0.0	0.0
R_4HBZCOAFm	0.0	0.0
R_CYSTGL	0.007159261001495696	0.007159261001495696
R_CYSTL	0.0	0.0
R_CYSTLp	0.0	0.0
R_CYSTRS	0.0	0.0
R_CYSTS	0.007159261001495696	0.007159261001495696
R_DHFRim	0.0	0.0
R_DHFS	0.0	0.0
R_DHFtm	0.0	0.0
R_DHNPAm	0.0	0.0
R_DHNPTtm	0.0	0.0
R_DHORD4i	0.0	0.0
R_DHORDfum	0.11997185860082182	0.11997185860082182
R_CYSTtp	0.0	0.0
R_CYSt2r	0.0	0.0
R_CYTD	0.0	0.0
R_CYTDK2	0.0	0.0
R_DHORDi	0.0	0.0
R_DHORTS	-0.11997185860082182	-0.11997185860082182
R_4HBZFm	0.0	0.0
R_DHPSm	0.0	0.0
R_DHPTtm	0.0	0.0
R_DHQS	0.28669586101444133	0.28669586101444133
R_DHQTi	0.28669586101444133	0.28669586101444133
R_CYTDt2	0.0	0.0
R_CYTK1	-0.029504833218285283	-0.029504833218285283
R_CYTK2	0.0	0.0
R_DADA	0.0	0.0
R_DADK	-0.0039050514553612887	-0.0039050514553612887
R_DIAT	0.0	0.0
R_DINSt2	0.0	0.0
R_DADNt2	0.0	0.0
R_DIPS	0.0	0.0
R_DADPtn	0.0	0.0
R_4HBZtm	0.0	0.0
R_DAGCPT_SC	0.0	0.0
R_DAGPYP_SC	0.007159261001495697	0.007159261001495697
R_DKMPPD2	0.0	0.0
R_DMATT	0.004772840667663798	0.004772840667663798
R_DNMPPA	0.0	0.0
R_DNTPPA	0.0	0.0
R_DOLK	0.0	0.0
R_DOLPMMer	0.8763586307739959	0.8763586307739959
R_DANNt2	0.0	0.0
R_DASYN_SC	-4.335659309869595	-4.335659309869595
R_DASYNm_SC	4.354642198888712	4.354642198888712
R_DB4PS	0.002147778300448709	0.002147778300448709
R_DBTS	0.0	0.0
R_DCDPtn	0.0	0.0
R_DCMPDA	-0.0026033676369075255	-0.0026033676369075255
R_DOLPMTcer	0.8763586307739959	0.8763586307739959
R_DOLPt2er	-0.8763586307739959	-0.8763586307739959
R_4HGLSDm	0.0	0.0
R_DPCOAK	0.0	0.0
R_DPCOAKm	0.0	0.0
R_DPGM	0.0	0.0
R_DPMVD	0.014318522002991392	0.014318522002991392
R_ECOAH4p	0.0	0.0
R_ECOAH5p	0.0	0.0
R_DPR	0.0	0.0
R_4HPRO_LTtm	0.0	0.0
R_DPRm	0.0	0.0
R_ECOAH6p	0.0	0.0
R_DRBK	0.0	0.0
R_ECOAH7p	0.0	0.0
R_ECOAH8p	0.0	0.0
R_DROPPRy	0.0010738891502243544	0.0010738891502243544
R_4HTHRS	0.0	0.0
R_DRTPPD	0.0010738891502243544	0.0010738891502243544
R_EHGLAT	0.0	0.0
R_EHGLATm	0.0	0.0
R_EHGLATp	0.0	0.0
R_ENO	32.31817736103686	32.31817736103686
R_EPGALURSe	0.0	0.0
R_EPISTAT_SC	0.0	0.0
R_DTMPK	0.0	0.0
R_DTTPt	0.0	0.0
R_DUMPtn	0.0	0.0
R_DURIK1	0.0	0.0
R_DURIPP	0.0	0.0
R_DURIt2	0.0	0.0
R_DUTPDP	0.0	0.0
R_EPISTESTH_SC	0.0	0.0
R_EPISTESTH_SCe	0.0	0.0
R_EPISTt	0.0	0.0
R_DXHPScm	0.0	0.0
R_D_LACDcm	0.0	0.0
R_EPMGH	0.0	0.0
R_4MOPDC	0.0	0.0
R_ERGSTAT_SC	0.0	0.0
R_ERGSTESTH_SC	0.0	0.0
R_ERGSTESTH_SCe	0.0	0.0
R_ERGSTGLCT	0.0	0.0
R_D_LACDm	0.0	0.0
R_D_LACt2	0.0	0.0
R_D_LACt2m	-2.697901247375685	-2.697901247375685
R_D_LACtm	2.697901247375685	2.697901247375685
R_E4HGLUtm	0.0	0.0
R_ERGSTt	0.0	0.0
R_ERGSTter	0.0007593155607646951	0.0007593155607646951
R_ERGTETROLter	0.0007593155607646951	0.0007593155607646951
R_E4HGLUtp	0.0	0.0
