Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_EX_cm_e	2.5511892663264216e-22	0.0	2.029247836555988e-24	0.0	4.395060672406453e-24	0.0	1.1478738997246132e-23	8.56247361717946e-24
R_EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_co2_e	0.6281246090697234	0.7074980112977106	0.548632539598337	0.7026146387349308	0.4345504971531611	0.7157161224815235	0.9158821899579918	0.8784714041718568
R_EX_cobalt2_e	4.898581540402347e-13	4.896499872231175e-13	4.898165206768113e-13	4.896361094353097e-13	4.897471317377722e-13	4.89899787403658e-13	4.896083538596939e-13	4.897887651011956e-13
R_DM_4crsol_c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_5drib_c	0.0	4.991789527803391e-06	1.6436513320927263e-06	5.935925503105214e-06	7.516730772494177e-07	2.304004576381033e-06	5.257645425490664e-07	5.757573478175865e-07
R_DM_aacald_c	0.0	8.932165279643143e-09	8.789339195629254e-09	8.951586589902315e-09	8.421787487248633e-09	8.613087290699898e-09	8.392717332231609e-09	6.709806995694091e-09
R_DM_amob_c	9.954285073292878e-09	9.983723968590615e-09	9.98156355514296e-09	9.983922575067905e-09	9.979927006821281e-09	9.993556748675868e-09	9.981994602332105e-09	9.98201706896395e-09
R_DM_mththf_c	0.0001345052246860647	0.02459125395959204	0.009812537558027776	0.02105312363616911	0.006797576869852142	0.012755618749896995	0.0017185120673775586	0.0016138318654559274
R_EX_colipa_e	5.372214859779807e-11	1.207124182854368e-06	0.0	3.812843941005626e-07	0.0	0.0	0.0	0.0
R_DM_oxam_c	0.0014841047696602294	0.002845057507402398	0.0021915014580237008	0.002635260687087993	0.002108377855279438	0.0026073781394322557	0.003494596482103543	0.0032722853537218858
R_EX_glc__D_e	0.0	0.0	0.0	-0.5133259995668588	0.0	0.0	0.0	0.0
R_EX_glcn_e	0.0	2.93049040396954e-09	0.0	0.004497950929471498	0.0	-0.4316671656934733	0.0	0.0
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_colipap_e	0.0	8.954724038539692e-07	0.0	4.779117279196914e-07	0.0	0.0	0.0	0.0
R_EX_glcur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcur1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BIOMASS_Ec_iJO1366_core_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_12ppd__R_e	5.2940326181066686e-05	0.02671086275265552	0.01491462363450641	0.023813229164574425	0.010783442425404476	0.014219708876453043	0.001551501518216975	0.0010375580442971307
R_EX_gln__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_e	5.383567572355972e-09	6.1460083368824055e-09	6.440604597281448e-09	6.298616306545084e-09	5.786223942483316e-09	6.700740436922698e-09	5.4614764791187765e-09	4.8209103703517104e-09
R_EX_glu__L_e	0.0	1.4367733945727527e-08	0.0	2.3081700390728624e-08	0.0	0.0	0.0	1.4288810037315011e-08
R_EX_gly_e	2.3673380396977766e-06	0.0005657708404100222	0.0002013432268540657	0.0010658904772651156	0.000107897598253084	0.000847401148592208	0.00026021842678878166	0.0006018249267117356
R_EX_glyald_e	0.0	0.001485811181731701	0.0001057339701100885	0.0017276587627749634	0.00017980363034521428	0.00038921617478160017	6.38591220015912e-08	9.174222025137915e-08
R_EX_glyb_e	1.971613680299935e-08	1.9611053637932792e-08	1.9584243848346384e-08	1.9586319160893607e-08	1.9601206969442616e-08	1.9846963407120808e-08	1.9675494443015097e-08	1.9682156025553317e-08
R_EX_glyc_e	0.0	0.025258473389011157	0.0016091085328915195	0.027483257284616848	-0.468894085205758	0.005672013696208161	9.70453313472208e-08	1.676166103748626e-07
R_EX_12ppd__S_e	0.0	0.004738420908062053	0.0007236292353630572	0.006685639167059932	0.0008044458705680316	0.001860855438629323	1.4588998872001675e-06	1.3919839141183719e-06
R_EX_14glucan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cpgn_un_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_15dap_e	5.48447415445376e-06	0.00047966282883486327	0.0002341513782772268	0.0006794337747321606	0.00022859702756565566	0.0002799947269846063	0.00011359648635953918	0.0001039566009900141
R_EX_glyc__R_e	7.28701662397383e-07	0.005983831005990013	0.004533479858124903	0.005578093485221766	0.002548869796081185	0.005148029414312806	0.00040936893445113037	0.0011487575022602527
R_EX_glyc2p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23camp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23ccmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23cgmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23cump_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_23dappa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_26dap__M_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc3p_e	0.0	3.2483074153927554e-06	1.028157353807206e-07	3.3140060914555213e-06	0.0	1.6920048753113339e-07	0.0	0.0
R_EX_glyclt_e	0.002477491232653377	0.12396471263468604	0.08509792598949142	0.09951635109065897	0.08018983045504044	0.09363429335119296	0.038836051540689365	0.07266519773435992
