Reaction	Glucose	Glucose - Chemostat
R_SS0001	-0.4723084264142948	-0.5039108002029179
R_SS0002	0.31981254583393626	0.3228406218266339
R_SS0003	-0.013465832333053734	-0.021600496710279197
R_SS0004	0.17805594439009464	0.19837057058707488
R_SS0005	0.008792882889530564	0.01807334894647965
R_SS0006	0.00879288288953073	0.018073348946479686
R_SS0007	-0.06868341851321746	-0.006744766929754675
R_SS0008	0.04269013728039115	0.05681863406107303
R_SS0009	0.0027419937667772717	0.010792642496853268
R_SS0010	0.18241721371037603	0.19883431742206426
R_SS0011	-0.17805594439009476	-0.19837057058707488
R_SS0012	0.18241721371037592	0.19883431742206428
R_SS0013	0.1780559443900947	0.19837057058707488
R_SS0014	0.14936778145503735	0.1421864420634645
R_SS0015	4.7208383681815096e-20	5.7703614488947155e-21
R_SS0016	9.632859657713703e-18	0.0
R_SS0017	0.14936778145503735	0.1421864420634645
R_SS0018	1.7557035411191324e-19	0.0
R_SS0019	0.14936778145503735	0.1421864420634645
R_SS0020	7.760907801934956e-08	2.2912936400706816e-07
R_SS0021	7.434245677643895e-05	7.043154249457166e-05
R_SS0022	7.433153706926099e-05	7.042005918778127e-05
R_SS0023	7.433153706948303e-05	7.042005918789228e-05
R_SS0024	0.03994814351361388	0.04602599156421976
R_SS0025	7.43315370693193e-05	7.042005918779787e-05
R_SS0026	1.8301435863157986e-08	9.983037684735475e-09
R_SS0027	0.13972707642998475	0.1420156833609913
R_SS0028	0.14936778145503735	0.1421864420634645
R_SS0029	9.961298207259418e-09	9.958815850875409e-09
R_SS0030	0.0	0.0
R_SS0031	7.760907801915991e-08	2.2912936400651398e-07
R_SS0032	1.1749455225047373e-09	8.878384925003053e-09
R_SS0033	2.1037463937829883e-17	3.3345679068491784e-17
R_SS0034	0.0	3.680183278081045e-21
R_SS0035	0.005074490464888174	0.0035283591330503945
R_SS0036	9.914484978997285e-09	9.920420751615664e-09
R_SS0037	0.004871883219121988	0.0032658208796475818
R_SS0038	0.0050744805039392715	0.003528349168447805
R_SS0039	0.05661624943064517	0.04995293802199275
R_SS0040	4.7859340909150945e-20	0.0
R_SS0041	9.914484979000858e-09	9.920420751620602e-09
R_SS0042	0.056427143596296525	0.04971058330118017
R_SS0043	0.9008866140767008	0.4830500647299366
R_SS0044	-0.9008866140767008	-0.4830500647299366
R_SS0045	9.91448497900081e-09	9.920420751617604e-09
R_SS0046	0.02411542676351104	0.024560833038852526
R_SS0047	0.05511267085233855	0.07061108131739792
R_SS0048	0.05511266088269706	0.07061107134787381
R_SS0049	0.02411542676351104	0.024560833038852526
R_SS0050	0.024115456634350614	0.024560862908703168
R_SS0051	0.02411545663435061	0.024560862908703185
R_SS0052	0.6840200170960099	0.5031041931987158
R_SS0053	-0.68402003020459	-0.5031042120511817
R_SS0054	0.32330042397078496	0.21899111566946475
R_SS0055	0.32330042397078496	0.21899111566946475
R_SS0056	0.3232710885768253	0.2189457323723024
R_SS0057	0.06539752350656958	0.05717166009239881
R_SS0058	-0.0525296651364684	-0.017872403397558356
R_SS0059	0.12275175608979605	0.10829031224779012
R_SS0060	8.229792216869933e-09	8.268105736986141e-09
R_SS0061	0.2565212533517379	0.20441501238545906
R_SS0062	0.2565212533517379	0.20441501238545906
R_SS0063	0.2051175056436181	0.08635832056555047
R_SS0064	0.050868881935029364	0.017782140653653602
R_SS0065	0.0508688819350294	0.0177821406536536
R_SS0066	0.050868881935029364	0.017782140653653602
R_SS0067	0.2400448229825077	0.1655865739335537
R_SS0068	0.016476430369230213	0.03882843845190538
R_SS0069	0.1949614610229744	0.12296367526000627
R_SS0070	0.044955420175393786	0.0838510712417694
R_SS0071	0.12375774520460515	0.10789352036398367
R_SS0072	0.1949614610229744	0.12296367526000627
R_SS0073	0.036924970938450666	0.07002216377737386
R_SS0074	0.2028815830608996	0.1715414435704408
R_SS0075	0.00019178012496538983	4.340777559459302e-05
R_SS0076	0.034208543503789435	0.06181528240978217
R_SS0077	0.0014218766866644589	0.0007006267583990875
R_SS0078	0.0014218766866644582	0.0007006267583990872
R_SS0079	0.0014218766866644582	0.0007006267583990872
R_SS0080	0.0014218766866644582	0.0007006267583990872
R_SS0081	0.0014218766866644582	0.0007006267583990872
R_SS0082	0.0014218766866644587	0.0007006267583990874
R_SS0083	0.0014218766866644587	0.0007006267583990875
R_SS0084	0.0014218766866644587	0.0007006267583990874
R_SS0085	0.00012395378644970616	0.00039428122397384085
R_SS0086	0.0018059814476423105	0.0016814638945033234
R_SS0087	0.0019299352340922395	0.0020757451184771907
R_SS0088	0.0019299352340920173	0.0020757451184771907
R_SS0089	0.0019299352340920173	0.0020757451184769678
R_SS0090	0.0019299352340920173	0.0020757451184771907
R_SS0091	0.0019299352340919067	0.0020757451184771907
R_SS0092	0.0019299352340920173	0.0020757451184771907
R_SS0093	1.402842314778283e-20	9.804351099653291e-21
R_SS0094	0.0019299352340922183	0.002075745118477199
R_SS0095	0.02411546639783085	0.024560872620204042
R_SS0096	0.024115456634350614	0.024560862908703168
R_SS0097	2.9911981223236844e-08	2.990989973296536e-08
R_SS0098	2.991198122322595e-08	2.9909899732959816e-08
R_SS0099	2.991198122321245e-08	2.990989973295285e-08
R_SS0100	0.02472409287368013	0.026727574382028267
R_SS0101	1.6303593631572867e-20	1.11333726306331e-20
R_SS0102	0.0	0.0
R_SS0103	0.0006009066815330253	0.00028925430847326534
R_SS0104	0.03527745050411562	0.029897275405693976
R_SS0105	0.02437045885470237	0.02664577123122201
R_SS0106	0.02472409287368013	0.026727574382028284
R_SS0107	0.02472409287368013	0.026727574382028267
R_SS0108	0.02472409287368013	0.026727574382028284
R_SS0109	0.0014218766866644582	0.0007006267583990872
R_SS0110	0.03527745050411562	0.029897275405693976
R_SS0111	-0.0005370496761705201	-2.851720234986477e-05
R_SS0112	0.023232502496998826	0.026327999720398846
R_SS0113	0.0011379563577035385	0.00031777151082316546
R_SS0114	0.03527745050411562	0.029897275405693976
R_SS0115	0.02472409287368013	0.026727574382028284
R_SS0116	0.03527745050411562	0.02989727540569397
R_SS0117	0.3498503522400377	0.3470224529330992
R_SS0118	0.7708568852000628	0.7018801185802276
R_SS0119	0.4208838713321277	0.35485632718979243
R_SS0120	0.02472409287368013	0.026727574382028284
R_SS0121	0.02472409287368013	0.026727574382028284
R_SS0122	0.00019175579242871365	4.339654048700658e-05
R_SS0123	0.0001917557924288049	4.339654048701736e-05
R_SS0124	3.3757434363360864e-08	2.113568982271253e-08
R_SS0125	0.07666502484005346	0.17589194057033747
R_SS0126	0.0350857041365846	0.029853888765789205
R_SS0127	3.3757434365871814e-08	2.1135689823237907e-08
R_SS0128	0.03508567037915023	0.02985386763009938
R_SS0129	3.3757434367136136e-08	2.1135689823506595e-08
R_SS0130	1.0847919280925467e-17	1.9426093289648438e-18
R_SS0131	3.375743434874564e-08	2.1135689819977032e-08
R_SS0132	0.0350857041365846	0.029853888765789205
R_SS0133	7.178963733079119e-18	1.2443995436391183e-18
R_SS0134	3.571333291009481e-18	6.054615753307493e-19
R_SS0135	0.02310984086910107	0.026326661263063017
R_SS0136	0.02310984086910107	0.026326661263063017
R_SS0137	0.02310984086910107	0.026326661263063017
R_SS0138	0.02310984086910107	0.026326661263063017
R_SS0139	2.598258594498808e-08	2.5979191029989438e-08
R_SS0140	3.929395278291282e-09	3.930708702993782e-09
R_SS0141	0.0	0.0
R_SS0142	0.2321464986123602	0.24440420307632435
R_SS0143	-0.09554160240270716	-0.13260793523283576
R_SS0144	0.21878439575765887	0.26096433277164666
R_SS0145	-0.06151769282510156	-0.043639743403467546
R_SS0146	-0.06151769282510156	-0.043639743403467546
R_SS0147	0.06151769282510164	0.04363974340346757
R_SS0148	0.06056507796994801	0.0410453358770543
R_SS0149	0.0009526148551536576	0.002594407526413265
R_SS0150	0.06056507796994825	0.04104533587705417
R_SS0151	0.0010885389757438883	0.00289979299876833
R_SS0152	0.14438812130182396	0.12222590721309863
R_SS0153	0.14438812130182396	0.12222590721309863
R_SS0154	0.14438812130182396	0.12222590721309863
R_SS0155	0.09634334742125708	0.07948476595068357
R_SS0156	0.07260420526285437	0.09632331792880168
R_SS0157	-0.1980875637601259	-0.2040779315961832
R_SS0158	-0.0019449839502765356	-0.002562979822159473
R_SS0159	-0.0019449839502766184	-0.002562979822159528
R_SS0160	-0.00013592412059015846	-0.0003053854723549243
R_SS0161	-0.0019449839502765907	-0.002562979822159528
R_SS0162	-0.024018599140879355	-0.05988438907606136
R_SS0163	-0.0001359241205901949	-0.0003053854723549746
R_SS0164	-0.0019449839502767574	-0.0025629798221595834
R_SS0165	-0.00013592412059018621	-0.0003053854723549798
R_SS0166	-0.0019449839502766464	-0.0025629798221595422
R_SS0167	-0.00013592412059026948	-0.0003053854723550353
R_SS0168	0.0001910927601281608	4.151593794699054e-05
R_SS0169	6.630323005528208e-07	1.8806025400160309e-06
R_SS0170	0.0020817357195002106	0.0028691925793587203
R_SS0171	0.0020817357195002106	0.002869192579358804
R_SS0172	0.0020817357195002046	0.002869192579358804
R_SS0173	0.0020817357195002106	0.002869192579358804
R_SS0174	0.0020817357195002106	0.0028691925793586925
R_SS0175	0.0020817357195002046	0.0028691925793587984
R_SS0176	0.4474289289776228	0.5020243365043817
R_SS0177	-1.874742827645548e-08	1.2886255174038295e-08
R_SS0178	0.0	0.0
R_SS0179	0.0	2.1822659920088374e-08
R_SS0180	1.436351471095776e-08	-1.4698867678575313e-09
R_SS0181	0.0002850051051770073	0.0010010168225081178
R_SS0182	0.000784176130199055	0.008920785403308448
R_SS0183	0.009538119560104023	0.011959128854311529
R_SS0184	0.862968456873544	0.6732752716967942
R_SS0185	0.862968456873544	0.6732752716967942
R_SS0186	0.4787260187785635	0.25444429609039365
R_SS0187	0.05896523604262826	-0.032634405798848465
R_SS0188	0.08687074981833033	0.06771292762848312
R_SS0189	0.0011926146194781596	0.003021657402415611
R_SS0190	0.4200457679199503	0.2880796987953156
R_SS0191	0.033820611615981384	-0.017158843370509658
R_SS0192	0.033820611615981384	-0.017158843370510102
R_SS0193	0.009096518742301107	-0.04388641775253843
R_SS0194	0.0	0.0
R_SS0195	0.0	0.0
R_SS0196	-0.3841958467739564	-0.41878688240347217
R_SS0197	2.610917619072837	2.4071237008017965
R_SS0198	1.7405273807218626	1.724158560897167
R_SS0199	1.7833525431513293	1.663071934262599
R_SS0200	1.7832616710604792	1.6629054466765159
R_SS0201	1.5893411322791744	1.5327194766225607
R_SS0202	3.772193258736424	3.4636109733564764
R_SS0203	-3.772193258736424	-3.463610973356477
R_SS0204	-3.448787956667805	-3.2444208931000955
R_SS0205	3.4487160094465383	3.2442798579467405
R_SS0206	3.3993405741335736	3.1909667312326717
R_SS0207	0.006793346770316733	0.008488293470371833
R_SS0208	2.0549844788124365	1.5746918932084133
R_SS0209	0.0	0.0
R_SS0210	0.018570379192503254	0.07148088161234174
R_SS0211	0.040599712367760735	0.09073827396570197
R_SS0212	0.2705248620388405	0.27865579286659303
R_SS0213	0.06314742755908707	0.05802052672502433
R_SS0214	0.01087456402168358	0.006650886660716175
R_SS0215	7.610568076272458e-05	0.00014780952716960568
R_SS0216	0.4684490543262941	0.3948166884006999
R_SS0217	9.087209084997569e-05	0.0001664875860828843
R_SS0218	0.013700558170433171	0.02447989229555698
R_SS0219	-0.3071193304871616	-0.2414724705907569
R_SS0220	-1.9635555459363016e-08	-1.965547491433739e-08
R_SS0221	0.22937039878170645	0.19958253050070374
R_SS0222	3.903883071805796e-08	3.908003692852212e-08
R_SS0223	0.0	0.0
R_SS0224	0.12391698221490287	0.11025534230126696
R_SS0225	5.925423168282513e-05	9.484415884575852e-05
R_SS0226	0.0	8.524467261963679e-09
R_SS0227	-0.12326606215955448	-0.048063558961265566
R_SS0228	0.0	0.0
R_SS0229	2.561629338289997e-08	2.091963197947712e-08
R_SS0230	-1.4363514599935456e-08	1.4698867678575313e-09
R_SS0231	0.11151605200132192	0.11759663650891088
R_SS0232	0.02359071585549754	0.025647386151649763
R_SS0233	9.023073082740103e-09	9.329571042368062e-09
R_SS0234	9.797772151652009e-09	9.842073075370007e-09
R_SS0235	-0.0103574165300091	-0.021076306652900608
R_SS0236	9.812415412419153e-09	9.916283050074887e-09
R_SS0237	0.0002272909368778997	0.00025578245314439313
R_SS0238	0.02377350155202329	0.0258552267344635
R_SS0239	0.02377350155202324	0.0258552267344635
R_SS0240	0.023773501552023242	0.02585522673446353
R_SS0241	4.450524035223208e-05	4.7941870330586247e-05
R_SS0242	0.01881007013639341	0.021011547916201974
R_SS0243	1.2475551737226492e-07	2.179673476679543e-07
R_SS0244	0.0001826783831971025	0.0002076411407398122
R_SS0245	0.03674207223510533	0.06981425474142063
R_SS0246	0.00013695611805552774	0.00030632501795273444
R_SS0247	0.00013695611805552657	0.0003063250179527352
R_SS0248	0.00013695611805552663	0.0003063250179527352
R_SS0249	-1.2625885986213736	-1.9758037434126563
R_SS0250	1.2525513080362476	1.9559248459775445
R_SS0251	0.016048101514527992	0.028410851020017613
R_SS0252	0.6229885857705247	0.7638884215636356
R_SS0253	0.17715295477868145	0.16622265653929685
R_SS0254	0.0043930818854399645	0.0021135284152679072
R_SS0255	0.0043930818854399705	0.0021135284152679523
R_SS0256	0.008754611553352283	0.009635205273377892
R_SS0257	-0.0012777080734727164	-0.001839907108755368
R_SS0258	0.0012113801189906099	0.0041427022832905775
R_SS0259	0.4877240856144044	0.4010801021693869
R_SS0260	0.0002129569080149744	0.00031685912213821394
R_SS0261	0.362369487031371	0.23107123517022302
R_SS0262	0.36186754542110666	0.2310133816662421
R_SS0263	0.120421241480408	0.07336269603224978
R_SS0264	0.09326193284213556	0.037367474218504886
R_SS0265	0.02426738888366061	0.010027869114220472
R_SS0266	0.2129709679399787	0.10824849366761394
R_SS0267	-0.23698955885106576	-0.16813287447556968
R_SS0268	1.0003683273033106	0.48948355942316896
R_SS0269	0.013638394466363769	0.008055229573732087
R_SS0270	0.5576143347081798	0.4540376129631746
R_SS0271	0.3991818423307596	0.2914548666331647
R_SS0272	0.017064699259734084	0.05020555607236865
R_SS0273	0.0042453166353492	0.000959143572314708
R_SS0274	1.7665482993424233	1.0720964000463502
R_SS0275	-0.7047409192709955	-0.3419222742447201
R_SS0276	0.0019299352340922187	0.0020757451184772006
R_SS0277	-0.6390366872850529	-0.7922992725836532
R_SS0278	-0.6390366872850529	-0.7922992725836528
R_SS0279	4.9843013397881216e-06	0.00010407863788911276
R_SS0280	0.013700558170433171	0.02447989229555698
R_SS0281	1.0297850350227122e-08	7.516930855544501e-09
R_SS0282	-0.22937038848385605	-0.1995825229837731
R_SS0283	0.22937038848385616	0.19958252298377285
R_SS0284	-0.1310690726706516	-0.17124014082863906
R_SS0285	9.705203078179836e-09	9.696989222927768e-09
R_SS0286	9.703550940504038e-09	9.718576863732547e-09
R_SS0287	0.0	0.0
R_SS0288	1.9635555455295206e-08	1.9655474947887875e-08
R_SS0289	9.886298072677527e-09	9.895357171501153e-09
R_SS0290	1.965636576242046e-08	1.9761533374392092e-08
R_SS0291	1.9635555459363016e-08	1.9655474942092965e-08
R_SS0292	0.0	0.0
R_SS0293	0.0017082957460765292	0.0018824445772584052
R_SS0294	0.0017083156403437311	0.001882464478692693
R_SS0295	0.0	0.0
R_SS0296	0.0017083156401269148	0.001882464478481735
R_SS0297	0.0017083134723945182	0.0018824623688292567
R_SS0298	1.8012705181898947e-09	1.2121948210876706e-09
R_SS0299	1.7252012421285224e-09	1.512051835624942e-09
R_SS0300	0.0017083113046625778	0.0018824602591771145
R_SS0301	9.141975287896287e-09	9.680275914192292e-09
R_SS0302	9.141975270549052e-09	9.680275858681142e-09
R_SS0303	9.141975270709247e-09	9.680275854611223e-09
R_SS0304	9.141975270709368e-09	9.680275854611852e-09
R_SS0305	0.0	9.680275854561174e-09
R_SS0306	0.14146788504774596	0.1874856769235302
R_SS0307	0.010398803235119106	0.016245526414615314
R_SS0308	2.1401368806601773	1.9169262787791144
R_SS0309	0.00025661746412533083	0.00030445801318473853
R_SS0310	0.06274473861757647	0.04470637860078842
R_SS0311	0.0009810715196640102	0.0006190004936286992
R_SS0312	0.004154421392869611	0.00186605913342958
R_SS0313	0.10111724876620284	0.10135111009429557
R_SS0314	0.10111724876620284	0.10135111009429557
R_SS0315	3.3242491496989644e-05	0.0001361464902337332
R_SS0316	1.5731179128403331e-06	1.2731666934616005e-06
R_SS0317	0.2293703956998164	0.1995825301980722
R_SS0318	0.0001827994460370084	0.00020784385110742383
R_SS0319	9.247063124030818e-09	1.8472072640675503e-08
R_SS0320	9.693091923698442e-20	1.4413070611700708e-20
R_SS0321	0.004780642361584716	0.004635833823942778
R_SS0322	0.0	0.0
R_SS0323	1.9770238624449832e-08	1.9769883093691595e-08
R_SS0324	0.0	0.0
R_SS0325	0.0	0.0
R_SS0326	6.962896070730696e-08	6.972363971297669e-08
R_SS0327	0.1075668867357548	0.0893020308222773
