Reaction	Glycerol + Glucose
R_xAMINOACID	-1.9377531700316379e-07
R_xBIOMASS	-1.937753171040895e-07
R_xLIPID	-1.9377534459772219e-10
R_xMAINTENANCE	1.1248711365168327e-06
R_xPOOL_AC_EM	0.0010371306385059
R_xPOOL_AC_LP	-0.0010309931433317
R_xPOOL_AC_MM	8.673617379884035e-18
R_xPOOL_FA_EM	-8.471213268652217e-07
R_xPOOL_FA_EN	-1.734723475976807e-18
R_xPOOL_FA_LP	-5.312922702256986e-06
R_xPOOL_FA_MI	-1.734723475976807e-18
R_xPOOL_FA_MM	-2.6020852139652106e-17
R_y000001	-2.287426913550487e-08
R_y000002	6.806583497818287e-08
R_y000004	2.2304362316619377e-18
R_y000005	-8.555180241776043e-08
R_y000006	0.0
R_y000007	1.1140896658254585e-07
R_y000008	1.3708704831082318e-06
R_y000009	1.98167874505346e-06
R_y000010	5.898817961132902e-07
R_y000012	1.734723475976807e-18
R_y000013	0.0
R_y000014	0.0
R_y000015	0.0
R_y000016	6.426422031973929e-05
R_y000017	-2.9609128862883857e-08
R_y000018	2.4390138520652416e-07
R_y000019	2.8836724292947004e-07
R_y000020	4.908613382970432e-07
R_y000021	0.0
R_y000022	0.0
R_y000023	-0.0001034668289818
R_y000024	-2.8948323209692654e-08
R_y000025	0.0001034447922723
R_y000027	2.439013852039221e-07
R_y000028	0.0
R_y000029	0.0001029432505278
R_y000030	5.235784540007038e-07
R_y000032	1.045383750443598e-06
R_y000033	1.6160166016263e-07
R_y000034	0.0
R_y000035	0.0
R_y000036	1.5857725293997426e-07
R_y000037	0.0
R_y000038	0.0
R_y000039	4.5484216946108106e-07
R_y000040	4.548421694610842e-07
R_y000041	4.1285308501714134e-16
R_y000042	-3.601916883765414e-08
R_y000045	0.0
R_y000057	0.0014879570280853
R_y000058	0.0
R_y000060	-0.0001034668289818
R_y000061	0.0001034668289818
R_y000062	0.002615124232432
R_y000063	2.883672429296191e-07
R_y000064	6.434224888252516e-05
R_y000065	4.548421694619221e-07
R_y000066	-3.6295041900962554e-08
R_y000067	-3.6295041900364026e-08
R_y000068	9.125499810794374e-07
R_y000069	0.0
R_y000072	0.0001035180053578
R_y000073	-4.864229860134656e-07
R_y000074	4.86422986012759e-07
R_y000075	2.8946778716758113e-18
R_y000076	2.515535541478599e-07
R_y000077	4.023552783425901e-07
R_y000078	2.7466821168540506e-07
R_y000079	4.012832191397013e-07
R_y000080	1.365857411154984e-06
R_y000081	8.165498556237896e-17
R_y000082	9.74354369402568e-07
R_y000083	1.332813783559309e-07
R_y000084	9.274615225973341e-08
R_y000085	0.0
R_y000086	0.0
R_y000087	2.1684043449710093e-18
R_y000088	-4.864229860125982e-07
R_y000089	-3.546500050334578e-07
R_y000090	6.217110892694613e-07
R_y000091	0.0076987030802204
R_y000092	-4.90190355218259e-07
R_y000093	4.901903552063411e-07
R_y000095	0.0
R_y000096	0.0027187562829405
R_y000097	0.0027187562829405
R_y000099	8.673617379884035e-18
R_y000100	3.858554843486368e-05
R_y000101	3.856721110908064e-05
R_y000102	0.0015243431657135
R_y000103	5.981590111010219e-07
R_y000104	0.0002197055355396
R_y000105	0.0014879570280853
R_y000106	8.110969598562315e-06
R_y000107	7.943582530870531e-06
R_y000108	2.0011003845660748e-17
R_y000109	0.0032392030063777
R_y000111	9.611993039845245e-08
R_y000112	0.0044192638378261
R_y000113	0.0107633277228753
R_y000114	1.0490008376317606e-17
R_y000115	0.0028854445686207
R_y000116	0.0
R_y000117	0.0
R_y000118	0.0028854445686207
R_y000120	8.110969598561974e-06
R_y000121	7.943582530873573e-06
R_y000122	3.856721110907857e-05
R_y000123	0.0015243431657135
R_y000124	3.858554843486271e-05
R_y000125	0.0014879570280853
R_y000127	-3.53896407552165e-08
R_y000132	-3.4787992790261124e-08
R_y000137	1.0408340855860844e-17
R_y000139	1.6209609331836383e-18
R_y000142	1.4041352021174312e-06
R_y000143	2.473881003297091e-06
R_y000144	1.4041352021155927e-06
R_y000145	9.578816143615736e-18
R_y000146	0.0
R_y000147	1.6160166016247977e-07
R_y000148	0.0044629875284119
R_y000149	0.0074641927739281
R_y000150	0.0032991053398184
R_y000151	4.012832191367304e-07
R_y000152	2.563199302637459e-06
R_y000153	2.5631993026436397e-06
R_y000154	1.2585321890508263e-06
R_y000155	0.0
R_y000156	0.0145494772925098
R_y000157	0.0
R_y000163	0.0397212616060276
R_y000164	-9.549797284312794e-19
R_y000165	0.0202112461833885
R_y000166	2.0185292267966736e-06
R_y000167	6.900782655032887e-07
R_y000168	6.166653544812063e-05
R_y000169	3.868675248799517e-07
R_y000170	2.1501548345057878e-07
R_y000172	2.3436523728442446e-07
R_y000173	4.6171593857940565e-07
R_y000174	6.19242461686153e-08
R_y000175	8.522836959531339e-08
R_y000176	-2.6823911898311363e-08
R_y000177	3.5992738047186656e-08
R_y000178	-9.168826152718097e-09
R_y000179	0.0001021580301013
R_y000180	1.3754219742566458e-06
R_y000182	0.0026134239155676
R_y000183	1.7082679280830286e-06
R_y000185	0.0
R_y000186	2.4135563685645496e-07
R_y000187	1.3455665210330068e-07
R_y000188	-9.274615221812555e-08
R_y000189	1.057742054893715e-06
R_y000190	1.0577420548919805e-06
R_y000191	9.69340413197652e-07
R_y000192	0.0
R_y000193	1.429189836547339e-07
R_y000194	7.000398774115125e-08
R_y000195	3.2257796277661453e-07
R_y000199	0.0
R_y000201	-2.465049290700163e-18
R_y000202	2.9195044230515906e-07
R_y000203	1.0244104516063498e-07
R_y000204	5.7016890389616215e-08
R_y000205	9.318315049251012e-08
R_y000206	2.417454342249077e-07
R_y000207	3.95437797593573e-08
R_y000208	3.954377976109202e-08
R_y000209	0.0
R_y000210	0.0
R_y000211	-8.576041607581356e-08
R_y000212	0.0
R_y000213	0.0
R_y000214	-3.7999339445837175e-08
R_y000215	0.0036423252258132
R_y000216	0.0098863267233608
R_y000217	0.0135319665489794
R_y000218	-1.6168691135964863e-08
R_y000219	0.0036423252258132
R_y000220	0.0
R_y000221	0.0
R_y000222	5.701689040227473e-08
R_y000225	1.1140896658192882e-07
R_y000226	0.0354817722547374
R_y000227	0.012773053362762
R_y000228	0.0
R_y000229	0.0
R_y000230	0.0
R_y000231	7.216301028391094e-08
R_y000233	2.5881840069633176e-07
R_y000234	1.993458853308568e-07
R_y000235	1.993458853324808e-07
R_y000236	1.9934588533344706e-07
R_y000237	1.9934588533223409e-07
R_y000238	1.993458853298523e-07
R_y000239	1.9934588533188985e-07
R_y000240	1.993458853297169e-07
R_y000241	1.9934588532542796e-07
R_y000242	2.5881840069405266e-07
R_y000243	2.912338364423921e-07
R_y000244	3.161291819934537e-07
R_y000249	0.0
R_y000250	1.5444403231805151e-09
R_y000251	-1.6315878844955998e-10
R_y000252	0.0011194421654285
R_y000253	0.0032565133278089
R_y000254	0.0043759554932375
R_y000255	0.0172283921452146
R_y000256	0.0016238270710038
R_y000257	3.7029111072187093e-07
R_y000258	4.809162916768334e-07
R_y000259	-5.3260572507876646e-08
R_y000260	7.062070214452224e-17
R_y000261	1.0704377631598905e-07
R_y000262	1.2735300487241613e-17
R_y000263	-6.899982411243218e-08
R_y000264	-6.794074252959969e-08
R_y000265	-6.877076875314409e-08
R_y000266	5.3826390103060014e-08
R_y000267	3.236799378665962e-17
R_y000268	1.804755057221025e-17
R_y000269	2.8872621965737743e-17
R_y000270	3.759501582765849e-17
R_y000271	0.0
R_y000272	-7.882779892089438e-08
R_y000273	7.355246072641621e-07
R_y000274	7.355246072664147e-07
R_y000275	8.534082553222903e-08
R_y000277	7.355246072674195e-07
R_y000278	3.886961662009874e-07
R_y000279	4.5484216946169044e-07
R_y000280	0.0021639120139618
R_y000281	0.0
R_y000282	0.0
R_y000283	0.0
R_y000284	0.0
R_y000285	0.0
R_y000286	0.0
R_y000287	0.0
R_y000288	0.0
R_y000289	0.0
R_y000290	0.0
R_y000291	0.0
R_y000292	0.0
R_y000293	0.0
R_y000294	0.0
R_y000295	0.0
R_y000296	0.0
R_y000297	0.0
R_y000298	0.0
R_y000299	0.0
R_y000300	0.0036135126610765
R_y000301	0.0
R_y000302	0.0021639120139618
R_y000303	0.0014485403304074
R_y000304	1.1252390503455349e-17
R_y000306	1.0548143447605253e-07
R_y000307	4.681585687734627e-07
R_y000308	8.948294634605806e-05
R_y000309	9.017158902878758e-05
R_y000310	1.3181526901754532e-06
R_y000311	5.244159940318217e-05
R_y000312	0.0
R_y000313	0.0
R_y000314	5.995671405012357e-07
R_y000315	0.0051583716080802
R_y000317	7.21630102766295e-08
R_y000318	0.0
R_y000319	0.0
R_y000320	-7.564240386100702e-08
R_y000321	7.564240386041047e-08
R_y000322	0.0
R_y000323	7.771309336153793e-08
R_y000326	-2.1561628898774879e-07
R_y000327	2.081946943754732e-07
R_y000329	0.0
R_y000330	-1.4455702035572062e-08
R_y000331	0.0
R_y000332	0.0
R_y000334	0.0
R_y000335	0.0
R_y000336	-0.0025129497025507
R_y000336_1	0.0009835694962529
R_y000337	5.082421628665748e-06
R_y000337_1	0.0
R_y000337_2	0.0
R_y000340	1.5739251724850023e-08
R_y000341	1.7498451893591466e-07
R_y000342	0.003075462027481
R_y000343	1.608701663584589e-07
R_y000344	-4.4708718395991016e-08
R_y000345	7.587691936990541e-08
R_y000346	-9.274615222345309e-08
R_y000347	-9.274615222482844e-08
R_y000348	0.0
R_y000349	3.79993394454374e-08
R_y000350	-6.31370233617573e-08
R_y000351	-2.960912886339505e-08
R_y000352	0.0027187562829405
R_y000353	6.426422031973948e-05
R_y000354	0.0125795094389964
R_y000355	1.3730732423362226e-07
R_y000356	0.0
R_y000357	4.190109355627546e-07
R_y000358	2.834705853948055e-07
R_y000359	0.0
R_y000360	0.0
R_y000361	-2.1392794975392223e-08
R_y000362	-2.1392794988520585e-08
R_y000363	3.8985065111578797e-07
R_y000364	5.519168335729693e-07
R_y000366	0.0293158845776586
R_y000368	8.534082554225413e-08
R_y000369	0.0
R_y000370	0.0
R_y000373	0.0
R_y000381	0.0
R_y000399	2.846198731977848e-06
R_y000400	-0.0014770161337415
R_y000402	0.0014883170838285
R_y000410	2.8271668619048868e-06
R_y000412	-3.361257921558232e-05
R_y000436	0.0
R_y000437	-8.401432031611698e-08
R_y000438	0.0292770670298435
R_y000439	0.0146384043090355
R_y000440	0.0
R_y000443	0.0
R_y000445	9.080361941672668e-07
R_y000446	-0.0070862399268641
R_y000447	-0.0011575842053188
R_y000448	6.217110892713004e-07
R_y000449	8.46580476729921e-07
R_y000450	0.0043731269082346
R_y000451	0.0035940039111195
R_y000452	1.993437650751884e-05
R_y000453	-3.7999339447649416e-08
R_y000457	0.0
R_y000458	0.0
R_y000459	0.0061355197264134
R_y000460	-1.589810327882898e-17
R_y000462	1.373073242339952e-07
R_y000463	3.381946518731163e-07
R_y000464	8.091462852437169e-07
R_y000466	0.0076987030802204
R_y000467	0.0031631332675961
R_y000468	0.0009745459751016
R_y000469	9.12549981079715e-07
R_y000470	0.0123238339873137
R_y000471	0.0184038821752464
R_y000472	1.2919603149207508e-06
R_y000473	0.0009745459751016
R_y000476	2.7524680826004307e-06
R_y000477	-7.882779891706169e-08
R_y000478	0.0
R_y000479	0.0
R_y000480	0.0
R_y000481	4.220048115855414e-07
R_y000482	-9.098325517784015e-08
R_y000483	4.220048115746722e-07
R_y000484	-9.098325517986616e-08
R_y000485	-1.589802875640169e-17
R_y000486	0.03173238415996
R_y000487	0.0125795094389964
R_y000488	-4.1227973023093835e-08
R_y000490	0.0
R_y000491	4.443902250060757e-07
R_y000492	2.4843315998284508e-06
R_y000493	0.0
R_y000494	1.2056396713619536e-07
R_y000495	1.3708704831089948e-06
R_y000496	1.8611147779199544e-06
R_y000497	3.4432825044477855e-07
R_y000499	-6.735532757725148e-09
R_y000501	9.655218826122853e-08
R_y000502	0.0070880152810558
R_y000503	-0.0047629783093712
R_y000504	0.0023617628370222
R_y000505	0.0059554027706031
R_y000506	0.0035589914927225
R_y000507	0.0035589914927225
R_y000508	0.0035589914927225
R_y000509	0.0023617628370222
R_y000510	0.0201242847004125
R_y000511	0.0201231373594754
R_y000512	0.0
R_y000514	5.738199581255218e-07
R_y000518	0.0
R_y000519	2.6020852139652106e-18
R_y000520	0.0
R_y000521	-8.673617379884035e-19
R_y000522	0.0
R_y000523	0.0
R_y000524	-9.274615222142415e-08
R_y000525	0.0
R_y000526	8.652268994657402e-07
R_y000527	3.163965182125462e-07
R_y000528	8.642284578947534e-07
R_y000529	-5.448166105117419e-07
R_y000530	0.0
R_y000531	0.0
R_y000532	0.0
R_y000533	1.8667739802952133e-08
R_y000534	0.0108636260376866
R_y000535	0.0
R_y000536	1.1140896658606373e-07
R_y000537	1.114089665818038e-07
R_y000538	1.1140896658165304e-07
R_y000539	0.0
R_y000540	0.0
R_y000541	0.0
R_y000542	2.439013852039221e-07
R_y000543	0.0
R_y000544	7.911249273893313e-08
R_y000545	2.439013852021341e-07
R_y000546	0.0036400845191759
R_y000547	2.240706637368248e-06
R_y000548	0.003589125322244
R_y000549	5.317107678768784e-05
R_y000550	7.552276622505763e-07
R_y000551	1.749975754958539e-07
R_y000552	4.44778096242439e-07
R_y000553	0.0
R_y000554	0.0
R_y000555	-6.895510078362433e-19
R_y000556	0.0
R_y000557	1.1168948614932332e-17
R_y000558	0.0002203036945507
R_y000559	5.981590111009019e-07
R_y000560	0.0002200099911473
R_y000561	0.0
R_y000562	5.577106476588424e-07
R_y000563	1.1140896658161533e-07
R_y000564	1.1140896658229157e-07
R_y000565	5.787292556564581e-07
R_y000566	2.919504423045438e-07
R_y000567	2.706911643212319e-07
R_y000568	0.0272494859398713
R_y000569	0.0081039304180816
R_y000570	5.126921857195876e-07
R_y000571	1.3554035018961585e-07
R_y000572	9.312584730942309e-18
R_y000573	1.081672515567903e-17
R_y000574	9.994132475507165e-18
R_y000575	1.0685051478675287e-17
R_y000576	0.0
R_y000577	0.0
R_y000578	0.0
R_y000579	0.0
R_y000580	0.0
R_y000581	0.0
R_y000582	0.0
R_y000583	0.0
R_y000584	0.0
R_y000585	0.0
R_y000586	0.0
R_y000587	0.0
R_y000588	0.0
R_y000589	0.0
R_y000590	0.0
R_y000591	0.0
