	mean $v_i$ tumor	mean $v_i$ normal	p-value	difference
Glycolysis/gluconeogenesis	0.0011351465724902196	0.0010131746263645073	1.1161471400539113e-40	-0.0001219719461257123
D-alanine metabolism	0.0005412536034483313	0.0005009050669398412	8.952773383285245e-09	-4.034853650849014e-05
Pentose phosphate pathway	0.00039444436115513	0.00035953304461108847	8.860397881181503e-21	-3.491131654404151e-05
Vitamin A metabolism	0.0002301389421548522	0.00019880860722413463	3.7819323695016186e-24	-3.133033493071756e-05
Arginine and proline metabolism	0.0002509216503971847	0.00022434205391231538	2.3513215391109578e-08	-2.6579596484869328e-05
Nucleotide interconversion	0.00017639890491216484	0.00015074131014890656	1.5529794936116948e-24	-2.5657594763258285e-05
Pyrimidine synthesis	0.0001916796825487586	0.0001697492521449146	2.8904334595374397e-18	-2.1930430403843996e-05
Glutathione metabolism	0.0003417563142161712	0.00032464460571283397	2.145594038578514e-15	-1.711170850333721e-05
Linoleate metabolism	0.00012053259649693689	0.00010472050848888148	4.189982628553499e-45	-1.581208800805541e-05
Purine synthesis	7.020042136222552e-05	5.727557039677387e-05	5.598197380107311e-35	-1.2924850965451649e-05
R group synthesis	0.0001438635712382582	0.00013324159392121785	2.074024371713498e-19	-1.0621977317040358e-05
Galactose metabolism	0.0001411927871761288	0.00013057518248192813	1.67134687245688e-17	-1.0617604694200674e-05
Vitamin B12 metabolism	0.00020932972808881622	0.00019926440645338288	6.043994502570444e-12	-1.006532163543334e-05
Vitamin B2 metabolism	0.00020525494796062895	0.00019647708679484165	0.0020882673140795705	-8.777861165787295e-06
Vitamin E metabolism	5.1554185735945e-05	4.293194644733428e-05	4.8036212145251005e-08	-8.622239288610715e-06
Vitamin C metabolism	0.00011438736451863847	0.0001073175795149595	0.0032581334967978492	-7.069785003678973e-06
Nucleotide salvage pathway	9.897752206011523e-05	9.209946813141887e-05	5.833924332702936e-06	-6.8780539286963585e-06
Purine catabolism	0.00010103493464231482	9.456245658755828e-05	5.032923046461517e-06	-6.472478054756536e-06
Phosphatidylinositol phosphate metabolism	7.202004918345573e-05	6.642399897415986e-05	4.037492976160552e-36	-5.5960502092958735e-06
Vitamin D metabolism	0.00020040141264533932	0.00019496773820466598	9.887981248361771e-05	-5.43367444067334e-06
Heme synthesis	2.7896171937785863e-05	2.2495012270012487e-05	8.813719325976293e-06	-5.401159667773375e-06
Heme degradation	2.2809928912456505e-05	1.761061996862649e-05	0.2012968077822629	-5.199308943830014e-06
Eicosanoid metabolism	9.917154221857282e-05	9.403983388896279e-05	5.555411443738101e-09	-5.131708329610029e-06
Transport, endoplasmic reticular	0.00014002902631950968	0.00013491502382902232	7.220404661728797e-21	-5.114002490487355e-06
NAD metabolism	0.0002664609876122089	0.00026178198694338096	0.006553163960423895	-4.679000668827949e-06
Inositol phosphate metabolism	7.377035570338755e-05	6.909346153860785e-05	1.1623518315747107e-08	-4.676894164779702e-06
Miscellaneous	0.00021479228998860653	0.0002108700081567215	0.006952395404478691	-3.92228183188504e-06
Aminosugar metabolism	5.9451023385583845e-05	5.572670699308123e-05	0.0005847168869052828	-3.7243163925026177e-06
Phenylalanine metabolism	3.883291061643192e-05	3.520475514725128e-05	8.794326819926668e-05	-3.6281554691806403e-06
Sphingolipid metabolism	5.482637818306745e-05	5.1229764413512754e-05	8.021558274717988e-09	-3.5966137695546955e-06
Fatty acid synthesis	5.929395154721566e-05	5.6025621655382926e-05	1.7594106972507467e-07	-3.268329891832733e-06
Glycerophospholipid metabolism	4.970324768859636e-05	4.7162731011347504e-05	6.011363479050811e-13	-2.5405166772488565e-06
Fructose and mannose metabolism	0.0001456160951864109	0.00014328276420026308	0.043244199611509215	-2.333330986147811e-06
