	Condition	N° variables	Time	Status
0	SolidTissueNormal_StageIV_1	14321	217.06759405136108	Solve_Succeeded
1	SolidTissueNormal_StageI_2	14321	196.16137075424194	Solve_Succeeded
2	PrimaryTumor_StageII_3	14321	206.48925757408142	Solved_To_Acceptable_Level
3	PrimaryTumor_StageIV_4	14321	212.38861298561096	Solve_Succeeded
4	PrimaryTumor_StageII_5	14321	206.43048453330994	Solve_Succeeded
5	PrimaryTumor_StageII_6	14321	202.33170080184937	Solve_Succeeded
6	PrimaryTumor_StageIII_7	14321	219.16853165626526	Solve_Succeeded
7	PrimaryTumor_StageII_8	14321	206.3139431476593	Solve_Succeeded
8	PrimaryTumor_StageI_9	14321	204.06183576583862	Solve_Succeeded
9	PrimaryTumor_StageI_10	14321	215.25108551979065	Solve_Succeeded
10	PrimaryTumor_StageII_11	14321	203.77023029327393	Solve_Succeeded
11	PrimaryTumor_StageIII_12	14321	213.5105152130127	Solve_Succeeded
12	PrimaryTumor_StageI_13	14321	209.28535103797913	Solve_Succeeded
13	PrimaryTumor_StageI_14	14321	200.98525667190552	Solve_Succeeded
14	PrimaryTumor_StageIII_15	14321	199.40124607086182	Solve_Succeeded
15	PrimaryTumor_StageIII_16	14321	199.06397652626038	Solve_Succeeded
16	PrimaryTumor_StageI_17	14321	212.60870599746704	Solved_To_Acceptable_Level
17	PrimaryTumor_StageIII_18	14321	191.55804014205933	Solve_Succeeded
18	PrimaryTumor_StageII_19	14321	215.53951811790466	Solve_Succeeded
19	PrimaryTumor_StageI_20	14321	208.88583660125732	Solve_Succeeded
20	PrimaryTumor_StageI_21	14321	214.86256504058838	Solve_Succeeded
21	PrimaryTumor_StageI_22	14321	208.334623336792	Solve_Succeeded
22	PrimaryTumor_StageI_23	14321	242.78572535514832	Solved_To_Acceptable_Level
23	PrimaryTumor_StageI_24	14321	210.31425547599792	Solve_Succeeded
24	SolidTissueNormal_StageIII_25	14321	208.14541268348694	Solve_Succeeded
25	PrimaryTumor_StageI_26	14321	215.48312377929688	Solve_Succeeded
26	PrimaryTumor_StageI_27	14321	233.6971414089203	Solve_Succeeded
27	PrimaryTumor_StageNA_28	14321	197.14273047447205	Solve_Succeeded
28	PrimaryTumor_StageII_29	14321	223.8905646800995	Solve_Succeeded
29	PrimaryTumor_StageI_30	14321	196.31960082054138	Solve_Succeeded
30	PrimaryTumor_StageI_31	14321	233.8477382659912	Solve_Succeeded
31	PrimaryTumor_StageII_32	14321	210.70131659507751	Solve_Succeeded
32	PrimaryTumor_StageI_33	14321	211.02040362358093	Solve_Succeeded
33	PrimaryTumor_StageIV_34	14321	206.05263662338257	Solve_Succeeded
34	PrimaryTumor_StageII_35	14321	204.92130637168884	Solve_Succeeded
35	PrimaryTumor_StageIII_36	14321	211.22883009910583	Solve_Succeeded
36	PrimaryTumor_StageI_37	14321	210.6170220375061	Solve_Succeeded
37	PrimaryTumor_StageII_38	14321	215.90994691848755	Solve_Succeeded
38	PrimaryTumor_StageI_39	14321	227.42473316192627	Solve_Succeeded
39	PrimaryTumor_StageI_40	14321	200.34027552604675	Solve_Succeeded
40	PrimaryTumor_StageI_41	14321	219.0503635406494	Solve_Succeeded
41	SolidTissueNormal_StageIV_42	14321	211.76478910446167	Solve_Succeeded
42	PrimaryTumor_StageII_43	14321	221.44822692871094	Solve_Succeeded
43	PrimaryTumor_StageIII_44	14321	212.97161054611206	Solve_Succeeded
44	PrimaryTumor_StageIV_45	14321	211.56440114974976	Solve_Succeeded
45	PrimaryTumor_StageI_46	14321	201.45620226860046	Solve_Succeeded
46	PrimaryTumor_StageIII_47	14321	217.28958892822266	Solve_Succeeded
47	PrimaryTumor_StageII_48	14321	203.15270972251892	Solve_Succeeded
48	PrimaryTumor_StageI_49	14321	250.64519429206848	Solved_To_Acceptable_Level
49	PrimaryTumor_StageII_50	14321	222.30615949630737	Solve_Succeeded
50	PrimaryTumor_StageNA_51	14321	221.12608647346497	Solve_Succeeded
51	PrimaryTumor_StageII_52	14321	212.98760390281677	Solve_Succeeded
52	PrimaryTumor_StageIV_53	14321	231.59106040000916	Solve_Succeeded
53	SolidTissueNormal_StageI_54	14321	215.76838517189026	Solve_Succeeded
54	PrimaryTumor_StageI_55	14321	227.95499229431152	Solve_Succeeded
55	PrimaryTumor_StageIV_56	14321	248.3409173488617	Solved_To_Acceptable_Level
56	PrimaryTumor_StageI_57	14321	208.2939431667328	Solve_Succeeded
57	PrimaryTumor_StageI_58	14321	221.67827081680298	Solve_Succeeded
58	PrimaryTumor_StageI_59	14321	228.9544756412506	Solved_To_Acceptable_Level
59	PrimaryTumor_StageI_60	14321	215.78652667999268	Solve_Succeeded
60	PrimaryTumor_StageIV_61	14321	236.37927842140198	Solve_Succeeded
61	PrimaryTumor_StageIV_62	14321	212.0789647102356	Solve_Succeeded
62	Additional-NewPrimary_StageII_63	14321	225.30076956748962	Solve_Succeeded
63	PrimaryTumor_StageNA_64	14321	210.00460147857666	Solve_Succeeded
64	PrimaryTumor_StageI_65	14321	238.05240535736084	Solved_To_Acceptable_Level
65	PrimaryTumor_StageIII_66	14321	217.21655774116516	Solve_Succeeded
66	PrimaryTumor_StageIII_67	14321	211.77405738830566	Solve_Succeeded
67	PrimaryTumor_StageIII_68	14321	221.58546543121338	Solve_Succeeded
68	PrimaryTumor_StageI_69	14321	233.09678673744202	Solve_Succeeded
