	Condition	N° variables	Time	Status
0	PrimaryTumor_StageIIA_1	14274	189.8367042541504	Solve_Succeeded
1	PrimaryTumor_StageIA_2	14274	197.80760431289673	Solve_Succeeded
2	PrimaryTumor_StageIB_3	14274	197.18412899971008	Solve_Succeeded
3	PrimaryTumor_StageIB_4	14274	203.56871938705444	Solve_Succeeded
4	PrimaryTumor_StageIB_5	14274	209.3165316581726	Solve_Succeeded
5	SolidTissueNormal_StageIB_6	14274	208.22302055358887	Solve_Succeeded
6	PrimaryTumor_StageIA_7	14274	207.37073230743408	Solve_Succeeded
7	PrimaryTumor_StageIB_8	14274	203.20547604560852	Solve_Succeeded
8	PrimaryTumor_StageIA_9	14274	212.31015706062317	Solve_Succeeded
9	PrimaryTumor_StageIIB_10	14274	201.18182849884033	Solve_Succeeded
10	PrimaryTumor_StageIIB_11	14274	207.51283192634583	Solve_Succeeded
11	PrimaryTumor_StageIIIB_12	14274	206.75246787071228	Solve_Succeeded
12	SolidTissueNormal_StageIB_13	14274	211.709401845932	Solve_Succeeded
13	PrimaryTumor_StageIIB_14	14274	203.53013682365417	Solve_Succeeded
14	PrimaryTumor_StageIIB_15	14274	233.82611894607544	Solve_Succeeded
15	PrimaryTumor_StageIA_16	14274	211.578209400177	Solve_Succeeded
16	PrimaryTumor_StageIB_17	14274	216.98566031455994	Solve_Succeeded
17	PrimaryTumor_StageIIIA_18	14274	206.40257692337036	Solve_Succeeded
18	PrimaryTumor_StageIB_19	14274	211.58751893043518	Solve_Succeeded
19	PrimaryTumor_StageIIB_20	14274	209.42769026756287	Solve_Succeeded
20	PrimaryTumor_StageIB_21	14274	226.81977796554565	Solve_Succeeded
21	PrimaryTumor_StageIIB_22	14274	222.95329356193542	Solve_Succeeded
22	SolidTissueNormal_StageIIIA_23	14274	224.3712282180786	Solve_Succeeded
23	PrimaryTumor_StageIIB_24	14274	231.75945568084717	Solve_Succeeded
24	PrimaryTumor_StageIIA_25	14274	220.36540126800537	Solve_Succeeded
25	PrimaryTumor_StageIB_26	14274	209.08993458747864	Solve_Succeeded
26	PrimaryTumor_StageIIB_27	14274	205.30273699760437	Solve_Succeeded
27	PrimaryTumor_StageIIB_28	14274	214.988694190979	Solve_Succeeded
28	PrimaryTumor_StageIIA_29	14274	212.09738039970398	Solve_Succeeded
29	SolidTissueNormal_StageIA_30	14274	220.245863199234	Solve_Succeeded
30	PrimaryTumor_StageIB_31	14274	212.5568084716797	Solve_Succeeded
31	PrimaryTumor_StageIA_32	14274	216.0980989933014	Solve_Succeeded
32	PrimaryTumor_StageIA_33	14274	211.60899376869202	Solve_Succeeded
33	PrimaryTumor_StageIIIA_34	14274	212.4789321422577	Solve_Succeeded
34	PrimaryTumor_StageIIB_35	14274	237.18526244163513	Solve_Succeeded
35	PrimaryTumor_StageIA_36	14274	251.02094316482544	Solve_Succeeded
36	PrimaryTumor_StageIB_37	14274	214.38722705841064	Solve_Succeeded
37	PrimaryTumor_StageIIIA_38	14274	208.91389966011047	Solve_Succeeded
38	PrimaryTumor_StageIA_39	14274	219.13585376739502	Solve_Succeeded
39	SolidTissueNormal_StageIIB_40	14274	214.49564480781555	Solve_Succeeded
40	PrimaryTumor_StageIB_41	14274	209.06023931503296	Solve_Succeeded
41	PrimaryTumor_StageIB_42	14274	209.40188550949097	Solve_Succeeded
42	PrimaryTumor_StageIA_43	14274	215.18069434165955	Solve_Succeeded
